TBJ_JFET  
Vin = 0.04*sen(2*PI*1000.0*t) + 0.04*sen(2*PI*1200.0*t)
Is = 1.00e-11  Idss = 2.00
Vt = 0.026     Vp   = -2.00
Tensiones de polarización
Vbe = 0.790
Vgs = -0.600
Resolución de ploteo = 400.0 puntos por período

t [s]   	Vin [V] 	Ic [mA] 	Id [mA] 	
 0.000000	 0.000000	 156.989563	 0.980000
 0.000012	 0.006903	 204.724960	 0.989688
 0.000025	 0.013753	 266.433929	 0.999348
 0.000037	 0.020497	 345.344513	 1.008906
 0.000050	 0.027086	 444.937897	 1.018287
 0.000062	 0.033467	 568.708984	 1.027414
 0.000075	 0.039593	 719.800415	 1.036214
 0.000087	 0.045416	 900.505188	 1.044614
 0.000100	 0.050893	 1111.662964	 1.052546
 0.000112	 0.055982	 1352.007324	 1.059942
 0.000125	 0.060645	 1617.562866	 1.066742
 0.000137	 0.064846	 1901.220825	 1.072887
 0.000150	 0.068554	 2192.638916	 1.078325
 0.000162	 0.071741	 2478.579346	 1.083010
 0.000175	 0.074384	 2743.761719	 1.086903
 0.000187	 0.076463	 2972.182861	 1.089971
 0.000200	 0.077963	 3148.772949	 1.092188
 0.000212	 0.078875	 3261.149902	 1.093536
 0.000225	 0.079192	 3301.163574	 1.094005
 0.000237	 0.078913	 3265.960449	 1.093592
 0.000250	 0.078042	 3158.352051	 1.092304
 0.000262	 0.076587	 2986.418213	 1.090154
 0.000275	 0.074560	 2762.429932	 1.087163
 0.000287	 0.071978	 2501.303467	 1.083360
 0.000300	 0.068863	 2218.865479	 1.078779
 0.000312	 0.065240	 1930.226807	 1.073463
 0.000325	 0.061137	 1648.489990	 1.067461
 0.000337	 0.056589	 1383.928711	 1.060826
 0.000350	 0.051631	 1143.655884	 1.053616
 0.000362	 0.046302	 931.724121	 1.045895
 0.000375	 0.040645	 749.534485	 1.037729
 0.000388	 0.034704	 596.417603	 1.029188
 0.000400	 0.028525	 470.262421	 1.020342
 0.000413	 0.022157	 368.099731	 1.011265
 0.000425	 0.015648	 286.584106	 1.002030
 0.000438	 0.009050	 222.351913	 0.992711
 0.000450	 0.002413	 172.258636	 0.983381
 0.000463	-0.004212	 133.512833	 0.974113
 0.000475	-0.010774	 103.731873	 0.964975
 0.000488	-0.017223	 80.943527	 0.956036
 0.000500	-0.023511	 63.554691	 0.947361
 0.000513	-0.029591	 50.303619	 0.939011
 0.000525	-0.035416	 40.206467	 0.931045
 0.000538	-0.040944	 32.505741	 0.923517
 0.000550	-0.046134	 26.623915	 0.916477
 0.000562	-0.050947	 22.124010	 0.909971
 0.000575	-0.055351	 18.677395	 0.904041
 0.000587	-0.059312	 16.038099	 0.898723
 0.000600	-0.062803	 14.022863	 0.894048
 0.000612	-0.065800	 12.495893	 0.890044
 0.000625	-0.068284	 11.357357	 0.886734
 0.000637	-0.070239	 10.534902	 0.884133
 0.000650	-0.071652	 9.977466	 0.882254
 0.000662	-0.072517	 9.650905	 0.881105
 0.000675	-0.072831	 9.535053	 0.880688
 0.000687	-0.072595	 9.621938	 0.881001
