TBJ_JFET  -THD
Vin = 0.04*sen(2*PI*1000.0*t) + 0.04*sen(2*PI*1200.0*t)
Is = 1.00e-11  Idss = 2.00
Vt = 0.026     Vp   = -2.00
Tensiones de polarización
Vbe = 0.790
Vgs = -0.600
Resolución de ploteo = 400.0 puntos por período

t [s]   	Vin [V] 	Ic [mA] 	Id [mA] 	
 0.000000	 0.000000	 156.199570	 1.580000
 0.000012	 0.006903	 203.928055	 1.582785
 0.000025	 0.013753	 265.630188	 1.585596
 0.000037	 0.020497	 344.534027	 1.588409
 0.000050	 0.027086	 444.120819	 1.591201
 0.000062	 0.033467	 567.885498	 1.593947
 0.000075	 0.039593	 718.970825	 1.596621
 0.000087	 0.045416	 899.669800	 1.599198
 0.000100	 0.050893	 1110.822021	 1.601652
 0.000112	 0.055982	 1351.161377	 1.603960
 0.000125	 0.060645	 1616.712280	 1.606097
 0.000137	 0.064846	 1900.365967	 1.608041
 0.000150	 0.068554	 2191.780273	 1.609771
 0.000162	 0.071741	 2477.717529	 1.611270
 0.000175	 0.074384	 2742.897217	 1.612520
 0.000187	 0.076463	 2971.316406	 1.613508
 0.000200	 0.077963	 3147.905029	 1.614224
 0.000212	 0.078875	 3260.281006	 1.614661
 0.000225	 0.079192	 3300.294434	 1.614812
 0.000237	 0.078913	 3265.091553	 1.614679
 0.000250	 0.078042	 3157.483887	 1.614262
 0.000262	 0.076587	 2985.551514	 1.613567
 0.000275	 0.074560	 2761.565430	 1.612603
 0.000287	 0.071978	 2500.441406	 1.611382
 0.000300	 0.068863	 2218.006592	 1.609916
 0.000312	 0.065240	 1929.371582	 1.608224
 0.000325	 0.061137	 1647.638794	 1.606324
 0.000337	 0.056589	 1383.082153	 1.604237
 0.000350	 0.051631	 1142.814209	 1.601985
 0.000362	 0.046302	 930.887817	 1.599593
 0.000375	 0.040645	 748.703857	 1.597084
 0.000388	 0.034704	 595.592896	 1.594484
 0.000400	 0.028525	 469.443909	 1.591817
 0.000413	 0.022157	 367.287567	 1.589108
 0.000425	 0.015648	 285.778473	 1.586382
 0.000438	 0.009050	 221.552856	 1.583661
 0.000450	 0.002413	 171.466217	 1.580968
 0.000463	-0.004212	 132.727051	 1.578324
 0.000475	-0.010774	 102.952644	 1.575749
 0.000488	-0.017223	 80.170753	 1.573259
 0.000500	-0.023511	 62.788204	 1.570872
 0.000513	-0.029591	 49.543209	 1.568601
 0.000525	-0.035416	 39.451881	 1.566461
 0.000538	-0.040944	 31.756685	 1.564461
 0.000550	-0.046134	 25.880049	 1.562611
 0.000562	-0.050947	 21.384958	 1.560919
 0.000575	-0.055351	 17.942745	 1.559392
 0.000587	-0.059312	 15.307411	 1.558034
 0.000600	-0.062803	 13.295666	 1.556851
 0.000612	-0.065800	 11.771693	 1.555845
 0.000625	-0.068284	 10.635641	 1.555018
 0.000637	-0.070239	 9.815140	 1.554371
 0.000650	-0.071652	 9.259118	 1.553906
 0.000662	-0.072517	 8.933422	 1.553622
 0.000675	-0.072831	 8.817884	 1.553520
 0.000687	-0.072595	 8.904533	 1.553597
 0.000700	-0.071815	 9.196796	 1.553853
 0.000712	-0.070501	 9.709582	 1.554285
 0.000725	-0.068666	 10.470260	 1.554891
 0.000737	-0.066329	 11.520502	 1.555668
 0.000750	-0.063512	 12.919202	 1.556612
 0.000762	-0.060239	 14.746524	 1.557719
 0.000775	-0.056539	 17.109362	 1.558983
 0.000787	-0.052445	 20.148386	 1.560397
 0.000800	-0.047990	 24.046991	 1.561955
 0.000812	-0.043213	 29.042257	 1.563648
 0.000825	-0.038152	 35.438072	 1.565467
 0.000837	-0.032850	 43.620216	 1.567400
 0.000850	-0.027348	 54.072807	 1.569435
 0.000862	-0.021691	 67.395027	 1.571559
 0.000875	-0.015924	 84.315994	 1.573757
 0.000887	-0.010093	 105.704803	 1.576014
 0.000900	-0.004242	 132.571213	 1.578312
 0.000912	 0.001583	 166.051590	 1.580634
 0.000925	 0.007337	 207.373657	 1.582962
 0.000937	 0.012976	 257.793091	 1.585275
 0.000950	 0.018459	 318.497253	 1.587554
 0.000962	 0.023745	 390.472809	 1.589780
 0.000975	 0.028794	 474.341248	 1.591932
 0.000987	 0.033571	 570.171631	 1.593992
 0.001000	 0.038042	 677.290283	 1.595940
 0.001012	 0.042175	 794.115356	 1.597759
 0.001025	 0.045941	 918.047852	 1.599432
 0.001037	 0.049318	 1045.456909	 1.600943
 0.001050	 0.052281	 1171.783813	 1.602279
 0.001062	 0.054815	 1291.781128	 1.603428
 0.001075	 0.056903	 1399.876099	 1.604380
 0.001087	 0.058535	 1490.631714	 1.605127
 0.001100	 0.059704	 1559.243042	 1.605664
 0.001112	 0.060408	 1602.011353	 1.605988
 0.001125	 0.060645	 1616.714844	 1.606097
 0.001137	 0.060421	 1602.826538	 1.605994
 0.001150	 0.059743	 1561.546265	 1.605682
 0.001162	 0.058622	 1495.638550	 1.605167
 0.001175	 0.057074	 1409.115845	 1.604458
 0.001187	 0.055115	 1306.813354	 1.603565
 0.001200	 0.052768	 1193.922729	 1.602499
 0.001212	 0.050055	 1075.551147	 1.601275
 0.001225	 0.047003	 956.351624	 1.599906
 0.001237	 0.043642	 840.261169	 1.598409
 0.001250	 0.040001	 730.355286	 1.596800
 0.001262	 0.036113	 628.811462	 1.595097
 0.001275	 0.032013	 536.958618	 1.593318
 0.001287	 0.027736	 455.389587	 1.591479
 0.001300	 0.023318	 384.104736	 1.589599
 0.001312	 0.018796	 322.665405	 1.587695
 0.001325	 0.014208	 270.338257	 1.585784
 0.001337	 0.009590	 226.219620	 1.583882
 0.001350	 0.004980	 189.334793	 1.582004
 0.001362	 0.000413	 158.711044	 1.580165
 0.001375	-0.004075	 133.427261	 1.578378
 0.001387	-0.008451	 112.643944	 1.576655
 0.001400	-0.012681	 95.617867	 1.575008
 0.001412	-0.016734	 81.705994	 1.573446
 0.001425	-0.020583	 70.362015	 1.571979
 0.001437	-0.024199	 61.128731	 1.570613
 0.001450	-0.027560	 53.628181	 1.569356
 0.001462	-0.030642	 47.551140	 1.568213
 0.001475	-0.033427	 42.646935	 1.567188
 0.001487	-0.035898	 38.714108	 1.566285
 0.001500	-0.038042	 35.592186	 1.565507
 0.001512	-0.039848	 33.154678	 1.564855
 0.001525	-0.041309	 31.303276	 1.564330
 0.001537	-0.042421	 29.963072	 1.563931
 0.001550	-0.043181	 29.078838	 1.563660
 0.001562	-0.043592	 28.612066	 1.563514
 0.001575	-0.043657	 28.538765	 1.563490
 0.001587	-0.043383	 28.847857	 1.563588
 0.001600	-0.042782	 29.540052	 1.563802
 0.001612	-0.041864	 30.627176	 1.564131
 0.001625	-0.040645	 32.131763	 1.564568
 0.001637	-0.039142	 34.086933	 1.565109
 0.001650	-0.037375	 36.536377	 1.565749
 0.001662	-0.035363	 39.534401	 1.566480
 0.001675	-0.033129	 43.145878	 1.567297
 0.001687	-0.030698	 47.445980	 1.568192
 0.001700	-0.028095	 52.519497	 1.569157
 0.001712	-0.025346	 58.459610	 1.570183
 0.001725	-0.022477	 65.365807	 1.571262
 0.001737	-0.019516	 73.340874	 1.572384
 0.001750	-0.016489	 82.486618	 1.573540
 0.001762	-0.013425	 92.898270	 1.574720
 0.001775	-0.010350	 104.657516	 1.575914
 0.001787	-0.007289	 117.824219	 1.577111
 0.001800	-0.004270	 132.427078	 1.578301
 0.001812	-0.001316	 148.453827	 1.579475
 0.001825	 0.001550	 165.841370	 1.580621
 0.001837	 0.004305	 184.467346	 1.581731
 0.001850	 0.006930	 204.143494	 1.582796
 0.001862	 0.009406	 224.612579	 1.583806
 0.001875	 0.011715	 245.549469	 1.584755
 0.001887	 0.013844	 266.567413	 1.585633
 0.001900	 0.015780	 287.229645	 1.586436
 0.001912	 0.017511	 307.066498	 1.587158
 0.001925	 0.019031	 325.596527	 1.587793
 0.001937	 0.020333	 342.350861	 1.588340
 0.001950	 0.021412	 356.898621	 1.588794
 0.001962	 0.022268	 368.870941	 1.589155
 0.001975	 0.022901	 377.981903	 1.589423
 0.001987	 0.023314	 384.043762	 1.589597
 0.002000	 0.023511	 386.976196	 1.589681
 0.002012	 0.023500	 386.807373	 1.589676
 0.002025	 0.023289	 383.668640	 1.589587
 0.002037	 0.022887	 377.782379	 1.589417
 0.002050	 0.022309	 369.445160	 1.589172
 0.002062	 0.021565	 359.007904	 1.588858
 0.002075	 0.020672	 346.854553	 1.588482
 0.002087	 0.019644	 333.381714	 1.588050
 0.002100	 0.018499	 318.980133	 1.587570
 0.002112	 0.017253	 304.019257	 1.587050
 0.002125	 0.015924	 288.835571	 1.586496
 0.002137	 0.014531	 273.724670	 1.585918
 0.002150	 0.013091	 258.937042	 1.585322
 0.002162	 0.011623	 244.677170	 1.584717
 0.002175	 0.010144	 231.104736	 1.584109
 0.002187	 0.008671	 218.338242	 1.583506
 0.002200	 0.007222	 206.459610	 1.582915
 0.002212	 0.005812	 195.519379	 1.582342
 0.002225	 0.004456	 185.542206	 1.581792
 0.002237	 0.003167	 176.532227	 1.581272
 0.002250	 0.001958	 168.477890	 1.580785
 0.002262	 0.000840	 161.356232	 1.580337
 0.002275	-0.000177	 155.136551	 1.579929
 0.002287	-0.001085	 149.783401	 1.579567
 0.002300	-0.001879	 145.258896	 1.579250
 0.002312	-0.002552	 141.524475	 1.578982
 0.002325	-0.003103	 138.542130	 1.578764
 0.002337	-0.003529	 136.275101	 1.578594
 0.002350	-0.003832	 134.688278	 1.578474
 0.002362	-0.004013	 133.748169	 1.578403
 0.002375	-0.004076	 133.422577	 1.578378
 0.002387	-0.004027	 133.680038	 1.578398
 0.002400	-0.003871	 134.489136	 1.578459
 0.002412	-0.003616	 135.817398	 1.578560
 0.002425	-0.003274	 137.630310	 1.578696
 0.002437	-0.002852	 139.890167	 1.578863
 0.002450	-0.002365	 142.554779	 1.579057
 0.002462	-0.001822	 145.576263	 1.579273
 0.002475	-0.001238	 148.900116	 1.579506
 0.002487	-0.000626	 152.464127	 1.579750
 0.002500	-0.000000	 156.197922	 1.580000
 0.002512	 0.000626	 160.022781	 1.580251
 0.002525	 0.001238	 163.851807	 1.580496
 0.002537	 0.001822	 167.591003	 1.580730
 0.002550	 0.002364	 171.140701	 1.580948
 0.002562	 0.002852	 174.397781	 1.581145
 0.002575	 0.003273	 177.258560	 1.581315
 0.002587	 0.003616	 179.622177	 1.581453
 0.002600	 0.003870	 181.394318	 1.581556
 0.002612	 0.004026	 182.491226	 1.581619
 0.002625	 0.004076	 182.843552	 1.581639
 0.002637	 0.004013	 182.399811	 1.581613
 0.002650	 0.003833	 181.129211	 1.581540
 0.002662	 0.003530	 179.023651	 1.581418
 0.002675	 0.003103	 176.098450	 1.581246
 0.002687	 0.002553	 172.392014	 1.581024
 0.002700	 0.001879	 167.964233	 1.580753
 0.002712	 0.001086	 162.893875	 1.580435
 0.002725	 0.000178	 157.274918	 1.580071
 0.002737	-0.000840	 151.212387	 1.579665
 0.002750	-0.001957	 144.817825	 1.579219
 0.002762	-0.003166	 138.204834	 1.578739
 0.002775	-0.004455	 131.484802	 1.578228
 0.002787	-0.005811	 124.763237	 1.577693
 0.002800	-0.007221	 118.136841	 1.577138
 0.002812	-0.008670	 111.691406	 1.576570
 0.002825	-0.010143	 105.500542	 1.575994
 0.002837	-0.011622	 99.625160	 1.575419
 0.002850	-0.013090	 94.113785	 1.574850
 0.002862	-0.014530	 89.003304	 1.574294
 0.002875	-0.015923	 84.320244	 1.573758
 0.002887	-0.017252	 80.082375	 1.573248
 0.002900	-0.018497	 76.300377	 1.572772
 0.002912	-0.019643	 72.979675	 1.572336
 0.002925	-0.020671	 70.122192	 1.571945
 0.002937	-0.021564	 67.728142	 1.571607
 0.002950	-0.022308	 65.797523	 1.571326
