TBJ_JFET  
Vin = 0.05*sen(2*PI*1000.0*t)
Is = 1.00e-11  Idss = 2.00
Vt = 0.026     Vp   = -2.00
Tensiones de polarización
Vbe = 0.700
Vgs = -0.600
Resolución de ploteo = 400.0 puntos por período

t [s]   	Vin [V] 	Ic [mA] 	Id [mA] 	
 0.000000	 0.000000	 4.926559	 0.980000
 0.000002	 0.000785	 5.077643	 0.981100
 0.000005	 0.001571	 5.233322	 0.982200
 0.000007	 0.002355	 5.393692	 0.983300
 0.000010	 0.003140	 5.558853	 0.984400
 0.000012	 0.003923	 5.728900	 0.985500
 0.000015	 0.004705	 5.903930	 0.986599
 0.000018	 0.005487	 6.084036	 0.987696
 0.000020	 0.006267	 6.269309	 0.988793
 0.000023	 0.007045	 6.459840	 0.989888
 0.000025	 0.007822	 6.655717	 0.990981
 0.000028	 0.008596	 6.857024	 0.992072
 0.000030	 0.009369	 7.063844	 0.993161
 0.000033	 0.010139	 7.276254	 0.994246
 0.000035	 0.010907	 7.494331	 0.995329
 0.000038	 0.011672	 7.718144	 0.996409
 0.000040	 0.012434	 7.947762	 0.997486
 0.000043	 0.013194	 8.183245	 0.998558
 0.000045	 0.013950	 8.424650	 0.999627
 0.000048	 0.014702	 8.672029	 1.000691
 0.000050	 0.015451	 8.925426	 1.001751
 0.000053	 0.016196	 9.184880	 1.002805
 0.000055	 0.016937	 9.450423	 1.003855
 0.000058	 0.017674	 9.722082	 1.004899
 0.000060	 0.018406	 9.999872	 1.005938
 0.000063	 0.019134	 10.283803	 1.006971
 0.000065	 0.019857	 10.573874	 1.007998
 0.000068	 0.020576	 10.870080	 1.009018
 0.000070	 0.021289	 11.172401	 1.010031
 0.000072	 0.021997	 11.480812	 1.011038
 0.000075	 0.022700	 11.795273	 1.012037
 0.000077	 0.023396	 12.115737	 1.013029
 0.000080	 0.024088	 12.442144	 1.014013
 0.000082	 0.024773	 12.774426	 1.014989
 0.000085	 0.025452	 13.112498	 1.015957
 0.000087	 0.026125	 13.456266	 1.016916
 0.000090	 0.026791	 13.805624	 1.017867
 0.000092	 0.027451	 14.160452	 1.018808
 0.000095	 0.028104	 14.520616	 1.019741
 0.000097	 0.028750	 14.885969	 1.020664
 0.000100	 0.029389	 15.256352	 1.021577
 0.000102	 0.030021	 15.631592	 1.022480
 0.000105	 0.030645	 16.011499	 1.023373
 0.000107	 0.031262	 16.395868	 1.024256
 0.000110	 0.031871	 16.784485	 1.025128
 0.000112	 0.032472	 17.177118	 1.025989
 0.000115	 0.033066	 17.573519	 1.026838
 0.000117	 0.033651	 17.973429	 1.027677
 0.000120	 0.034227	 18.376566	 1.028504
 0.000122	 0.034796	 18.782646	 1.029319
 0.000125	 0.035355	 19.191362	 1.030122
 0.000127	 0.035906	 19.602394	 1.030913
 0.000130	 0.036448	 20.015408	 1.031692
 0.000132	 0.036982	 20.430056	 1.032458
 0.000135	 0.037506	 20.845978	 1.033211
 0.000137	 0.038020	 21.262796	 1.033951
 0.000140	 0.038526	 21.680126	 1.034678
 0.000142	 0.039021	 22.097567	 1.035391
 0.000145	 0.039508	 22.514708	 1.036091
 0.000147	 0.039984	 22.931122	 1.036777
 0.000150	 0.040451	 23.346380	 1.037449
 0.000152	 0.040907	 23.760031	 1.038107
 0.000155	 0.041354	 24.171627	 1.038751
 0.000158	 0.041790	 24.580709	 1.039380
 0.000160	 0.042216	 24.986799	 1.039994
 0.000163	 0.042632	 25.389425	 1.040594
 0.000165	 0.043037	 25.788105	 1.041178
 0.000168	 0.043432	 26.182348	 1.041747
 0.000170	 0.043815	 26.571663	 1.042301
 0.000173	 0.044188	 26.955559	 1.042840
 0.000175	 0.044550	 27.333536	 1.043363
 0.000178	 0.044901	 27.705097	 1.043870
 0.000180	 0.045241	 28.069746	 1.044361
 0.000183	 0.045570	 28.426989	 1.044837
 0.000185	 0.045888	 28.776331	 1.045296
 0.000188	 0.046194	 29.117281	 1.045738
 0.000190	 0.046489	 29.449362	 1.046165
 0.000193	 0.046772	 29.772087	 1.046575
 0.000195	 0.047044	 30.084995	 1.046968
 0.000198	 0.047304	 30.387625	 1.047345
 0.000200	 0.047553	 30.679522	 1.047705
 0.000203	 0.047790	 30.960251	 1.048047
 0.000205	 0.048015	 31.229380	 1.048373
 0.000208	 0.048228	 31.486498	 1.048682
 0.000210	 0.048429	 31.731207	 1.048974
 0.000213	 0.048618	 31.963125	 1.049248
 0.000215	 0.048796	 32.181885	 1.049505
 0.000218	 0.048961	 32.387142	 1.049744
 0.000220	 0.049114	 32.578568	 1.049966
 0.000223	 0.049255	 32.755859	 1.050171
 0.000225	 0.049384	 32.918720	 1.050358
 0.000228	 0.049501	 33.066891	 1.050527
 0.000230	 0.049606	 33.200123	 1.050678
 0.000233	 0.049698	 33.318214	 1.050812
 0.000235	 0.049778	 33.420956	 1.050928
 0.000238	 0.049846	 33.508183	 1.051026
 0.000240	 0.049901	 33.579746	 1.051107
 0.000243	 0.049944	 33.635532	 1.051170
 0.000245	 0.049975	 33.675446	 1.051214
 0.000248	 0.049994	 33.699417	 1.051241
 0.000250	 0.050000	 33.707417	 1.051250
 0.000253	 0.049994	 33.699417	 1.051241
 0.000255	 0.049975	 33.675446	 1.051214
 0.000258	 0.049944	 33.635532	 1.051170
 0.000260	 0.049901	 33.579750	 1.051107
 0.000263	 0.049846	 33.508186	 1.051027
 0.000265	 0.049778	 33.420963	 1.050928
 0.000268	 0.049698	 33.318226	 1.050812
 0.000270	 0.049606	 33.200138	 1.050678
 0.000273	 0.049501	 33.066902	 1.050527
 0.000275	 0.049384	 32.918736	 1.050358
 0.000278	 0.049255	 32.755878	 1.050171
 0.000280	 0.049114	 32.578590	 1.049966
 0.000282	 0.048961	 32.387165	 1.049744
 0.000285	 0.048796	 32.181915	 1.049505
 0.000287	 0.048619	 31.963152	 1.049248
 0.000290	 0.048429	 31.731239	 1.048974
 0.000292	 0.048228	 31.486534	 1.048682
 0.000295	 0.048015	 31.229420	 1.048373
 0.000297	 0.047790	 30.960291	 1.048047
 0.000300	 0.047553	 30.679569	 1.047705
 0.000302	 0.047304	 30.387676	 1.047345
 0.000305	 0.047044	 30.085052	 1.046968
 0.000307	 0.046772	 29.772146	 1.046575
 0.000310	 0.046489	 29.449421	 1.046165
 0.000312	 0.046194	 29.117348	 1.045739
 0.000315	 0.045888	 28.776398	 1.045296
 0.000317	 0.045570	 28.427061	 1.044837
 0.000320	 0.045241	 28.069822	 1.044361
 0.000322	 0.044901	 27.705177	 1.043870
 0.000325	 0.044550	 27.333618	 1.043363
 0.000327	 0.044188	 26.955648	 1.042840
 0.000330	 0.043815	 26.571753	 1.042301
 0.000332	 0.043432	 26.182442	 1.041747
 0.000335	 0.043037	 25.788200	 1.041178
 0.000337	 0.042632	 25.389526	 1.040594
 0.000340	 0.042216	 24.986902	 1.039994
 0.000342	 0.041790	 24.580814	 1.039380
 0.000345	 0.041354	 24.171738	 1.038751
 0.000347	 0.040908	 23.760147	 1.038107
 0.000350	 0.040451	 23.346497	 1.037449
 0.000352	 0.039984	 22.931240	 1.036777
 0.000355	 0.039508	 22.514830	 1.036091
 0.000357	 0.039022	 22.097694	 1.035392
 0.000360	 0.038526	 21.680254	 1.034678
 0.000362	 0.038020	 21.262928	 1.033951
 0.000365	 0.037506	 20.846109	 1.033211
 0.000367	 0.036982	 20.430191	 1.032458
 0.000370	 0.036449	 20.015545	 1.031692
 0.000372	 0.035906	 19.602531	 1.030914
 0.000375	 0.035355	 19.191502	 1.030123
 0.000377	 0.034796	 18.782787	 1.029320
 0.000380	 0.034228	 18.376707	 1.028504
 0.000382	 0.033651	 17.973566	 1.027677
 0.000385	 0.033066	 17.573660	 1.026839
 0.000387	 0.032473	 17.177258	 1.025989
 0.000390	 0.031871	 16.784628	 1.025128
 0.000392	 0.031262	 16.396009	 1.024256
 0.000395	 0.030646	 16.011639	 1.023373
 0.000397	 0.030021	 15.631732	 1.022480
 0.000400	 0.029389	 15.256492	 1.021577
 0.000402	 0.028750	 14.886107	 1.020664
 0.000405	 0.028104	 14.520753	 1.019741
 0.000407	 0.027451	 14.160588	 1.018809
 0.000410	 0.026792	 13.805759	 1.017867
 0.000412	 0.026125	 13.456400	 1.016917
 0.000415	 0.025452	 13.112630	 1.015957
 0.000417	 0.024773	 12.774557	 1.014989
 0.000420	 0.024088	 12.442274	 1.014013
 0.000422	 0.023397	 12.115866	 1.013029
 0.000425	 0.022700	 11.795400	 1.012037
 0.000427	 0.021997	 11.480938	 1.011038
 0.000430	 0.021289	 11.172525	 1.010032
 0.000432	 0.020576	 10.870203	 1.009018
 0.000435	 0.019858	 10.573996	 1.007998
 0.000437	 0.019134	 10.283921	 1.006971
 0.000440	 0.018407	 9.999990	 1.005939
 0.000442	 0.017674	 9.722198	 1.004900
 0.000445	 0.016937	 9.450539	 1.003855
 0.000447	 0.016196	 9.184993	 1.002806
 0.000450	 0.015451	 8.925537	 1.001751
 0.000452	 0.014702	 8.672138	 1.000691
 0.000455	 0.013950	 8.424758	 0.999627
 0.000457	 0.013194	 8.183352	 0.998559
 0.000460	 0.012435	 7.947867	 0.997486
 0.000462	 0.011673	 7.718248	 0.996410
 0.000465	 0.010908	 7.494433	 0.995330
 0.000467	 0.010140	 7.276354	 0.994247
 0.000470	 0.009369	 7.063942	 0.993161
 0.000472	 0.008597	 6.857121	 0.992073
 0.000475	 0.007822	 6.655812	 0.990982
 0.000477	 0.007045	 6.459934	 0.989888
 0.000480	 0.006267	 6.269401	 0.988793
 0.000482	 0.005487	 6.084126	 0.987697
 0.000485	 0.004706	 5.904018	 0.986599
 0.000487	 0.003923	 5.728987	 0.985500
 0.000490	 0.003140	 5.558936	 0.984401
 0.000492	 0.002356	 5.393771	 0.983301
 0.000495	 0.001571	 5.233397	 0.982201
 0.000497	 0.000786	 5.077715	 0.981100
 0.000500	 0.000000	 4.926629	 0.980000
 0.000502	-0.000785	 4.780037	 0.978901
 0.000505	-0.001570	 4.637842	 0.977803
 0.000507	-0.002355	 4.499944	 0.976706
 0.000510	-0.003139	 4.366243	 0.975610
 0.000512	-0.003923	 4.236642	 0.974516
 0.000515	-0.004705	 4.111040	 0.973424
 0.000517	-0.005486	 3.989340	 0.972334
 0.000520	-0.006266	 3.871444	 0.971247
 0.000522	-0.007045	 3.757256	 0.970162
 0.000525	-0.007821	 3.646680	 0.969081
 0.000527	-0.008596	 3.539621	 0.968002
 0.000530	-0.009369	 3.435985	 0.966928
 0.000532	-0.010139	 3.335680	 0.965857
 0.000535	-0.010907	 3.238614	 0.964790
 0.000537	-0.011672	 3.144699	 0.963727
 0.000540	-0.012434	 3.053845	 0.962669
 0.000542	-0.013193	 2.965966	 0.961616
 0.000545	-0.013949	 2.880977	 0.960568
 0.000547	-0.014702	 2.798793	 0.959526
 0.000550	-0.015451	 2.719333	 0.958489
 0.000552	-0.016196	 2.642517	 0.957457
 0.000555	-0.016937	 2.568265	 0.956432
 0.000557	-0.017674	 2.496501	 0.955413
 0.000560	-0.018406	 2.427149	 0.954401
 0.000562	-0.019134	 2.360136	 0.953395
 0.000565	-0.019857	 2.295390	 0.952397
 0.000567	-0.020576	 2.232841	 0.951406
 0.000570	-0.021289	 2.172421	 0.950422
 0.000572	-0.021997	 2.114062	 0.949446
 0.000575	-0.022699	 2.057701	 0.948479
 0.000577	-0.023396	 2.003273	 0.947519
