TBJ_JFET  -THD
Vin = 0.05*sen(2*PI*1000.0*t)
Is = 1.00e-11  Idss = 2.00
Vt = 0.026     Vp   = -2.00
Tensiones de polarización
Vbe = 0.700
Vgs = -0.600
Resolución de ploteo = 400.0 puntos por período

t [s]   	Vin [V] 	Ic [mA] 	Id [mA] 	
 0.000000	 0.000000	 4.926559	 0.980000
 0.000002	 0.000785	 5.076858	 0.980314
 0.000005	 0.001571	 5.231751	 0.980629
 0.000007	 0.002355	 5.391337	 0.980945
 0.000010	 0.003140	 5.555714	 0.981261
 0.000012	 0.003923	 5.724977	 0.981577
 0.000015	 0.004705	 5.899225	 0.981893
 0.000018	 0.005487	 6.078549	 0.982210
 0.000020	 0.006267	 6.263042	 0.982526
 0.000023	 0.007045	 6.452795	 0.982843
 0.000025	 0.007822	 6.647895	 0.983159
 0.000028	 0.008596	 6.848428	 0.983476
 0.000030	 0.009369	 7.054475	 0.983791
 0.000033	 0.010139	 7.266115	 0.984107
 0.000035	 0.010907	 7.483424	 0.984422
 0.000038	 0.011672	 7.706472	 0.984737
 0.000040	 0.012434	 7.935328	 0.985051
 0.000043	 0.013194	 8.170051	 0.985364
 0.000045	 0.013950	 8.410701	 0.985677
 0.000048	 0.014702	 8.657327	 0.985989
 0.000050	 0.015451	 8.909975	 0.986300
 0.000053	 0.016196	 9.168684	 0.986610
 0.000055	 0.016937	 9.433486	 0.986918
 0.000058	 0.017674	 9.704409	 0.987226
 0.000060	 0.018406	 9.981466	 0.987532
 0.000063	 0.019134	 10.264668	 0.987837
 0.000065	 0.019857	 10.554017	 0.988140
 0.000068	 0.020576	 10.849504	 0.988442
 0.000070	 0.021289	 11.151113	 0.988742
 0.000072	 0.021997	 11.458816	 0.989041
 0.000075	 0.022700	 11.772573	 0.989337
 0.000077	 0.023396	 12.092340	 0.989632
 0.000080	 0.024088	 12.418056	 0.989925
 0.000082	 0.024773	 12.749653	 0.990216
 0.000085	 0.025452	 13.087047	 0.990505
 0.000087	 0.026125	 13.430141	 0.990791
 0.000090	 0.026791	 13.778832	 0.991075
 0.000092	 0.027451	 14.133000	 0.991357
 0.000095	 0.028104	 14.492512	 0.991637
 0.000097	 0.028750	 14.857219	 0.991913
 0.000100	 0.029389	 15.226963	 0.992188
 0.000102	 0.030021	 15.601571	 0.992459
 0.000105	 0.030645	 15.980854	 0.992728
 0.000107	 0.031262	 16.364607	 0.992994
 0.000110	 0.031871	 16.752613	 0.993256
 0.000112	 0.032472	 17.144646	 0.993516
 0.000115	 0.033066	 17.540453	 0.993773
 0.000117	 0.033651	 17.939777	 0.994026
 0.000120	 0.034227	 18.342339	 0.994277
 0.000122	 0.034796	 18.747850	 0.994524
 0.000125	 0.035355	 19.156008	 0.994767
 0.000127	 0.035906	 19.566488	 0.995007
 0.000130	 0.036448	 19.978960	 0.995244
 0.000132	 0.036982	 20.393074	 0.995476
 0.000135	 0.037506	 20.808472	 0.995706
 0.000137	 0.038020	 21.224775	 0.995931
 0.000140	 0.038526	 21.641600	 0.996152
 0.000142	 0.039021	 22.058544	 0.996370
 0.000145	 0.039508	 22.475201	 0.996583
 0.000147	 0.039984	 22.891138	 0.996793
 0.000150	 0.040451	 23.305929	 0.996998
 0.000152	 0.040907	 23.719124	 0.997200
 0.000155	 0.041354	 24.130274	 0.997397
 0.000158	 0.041790	 24.538919	 0.997589
 0.000160	 0.042216	 24.944582	 0.997778
 0.000163	 0.042632	 25.346794	 0.997962
 0.000165	 0.043037	 25.745068	 0.998141
 0.000168	 0.043432	 26.138916	 0.998316
 0.000170	 0.043815	 26.527847	 0.998486
 0.000173	 0.044188	 26.911371	 0.998652
 0.000175	 0.044550	 27.288986	 0.998813
 0.000178	 0.044901	 27.660196	 0.998969
 0.000180	 0.045241	 28.024506	 0.999120
 0.000183	 0.045570	 28.381418	 0.999266
 0.000185	 0.045888	 28.730444	 0.999408
 0.000188	 0.046194	 29.071087	 0.999545
 0.000190	 0.046489	 29.402872	 0.999676
 0.000193	 0.046772	 29.725315	 0.999803
 0.000195	 0.047044	 30.037951	 0.999924
 0.000198	 0.047304	 30.340321	 1.000041
 0.000200	 0.047553	 30.631969	 1.000152
 0.000203	 0.047790	 30.912460	 1.000258
 0.000205	 0.048015	 31.181364	 1.000359
 0.000208	 0.048228	 31.438271	 1.000454
 0.000210	 0.048429	 31.682777	 1.000544
 0.000213	 0.048618	 31.914507	 1.000629
 0.000215	 0.048796	 32.133087	 1.000709
 0.000218	 0.048961	 32.338181	 1.000783
 0.000220	 0.049114	 32.529453	 1.000852
 0.000223	 0.049255	 32.706604	 1.000915
 0.000225	 0.049384	 32.869335	 1.000973
 0.000228	 0.049501	 33.017391	 1.001026
 0.000230	 0.049606	 33.150517	 1.001073
 0.000233	 0.049698	 33.268517	 1.001114
 0.000235	 0.049778	 33.371178	 1.001150
 0.000238	 0.049846	 33.458336	 1.001181
 0.000240	 0.049901	 33.529846	 1.001206
 0.000243	 0.049944	 33.585587	 1.001225
 0.000245	 0.049975	 33.625469	 1.001239
 0.000248	 0.049994	 33.649422	 1.001247
 0.000250	 0.050000	 33.657417	 1.001250
 0.000253	 0.049994	 33.649422	 1.001247
 0.000255	 0.049975	 33.625469	 1.001239
 0.000258	 0.049944	 33.585587	 1.001225
 0.000260	 0.049901	 33.529850	 1.001206
 0.000263	 0.049846	 33.458340	 1.001181
 0.000265	 0.049778	 33.371185	 1.001150
 0.000268	 0.049698	 33.268528	 1.001114
 0.000270	 0.049606	 33.150532	 1.001073
 0.000273	 0.049501	 33.017403	 1.001026
 0.000275	 0.049384	 32.869350	 1.000973
 0.000278	 0.049255	 32.706623	 1.000915
 0.000280	 0.049114	 32.529476	 1.000852
 0.000282	 0.048961	 32.338203	 1.000783
 0.000285	 0.048796	 32.133118	 1.000709
 0.000287	 0.048619	 31.914534	 1.000629
 0.000290	 0.048429	 31.682810	 1.000544
 0.000292	 0.048228	 31.438307	 1.000454
 0.000295	 0.048015	 31.181404	 1.000359
 0.000297	 0.047790	 30.912500	 1.000258
 0.000300	 0.047553	 30.632017	 1.000152
 0.000302	 0.047304	 30.340372	 1.000041
 0.000305	 0.047044	 30.038008	 0.999924
