t       	v
 0.000000	 0.000000
 0.000010	 0.156899
 0.000020	 0.312714
 0.000030	 0.466372
 0.000040	 0.616814
 0.000050	 0.763007
 0.000060	 0.903951
 0.000070	 1.038685
 0.000080	 1.166300
 0.000090	 1.285937
 0.000100	 1.396801
 0.000110	 1.498165
 0.000120	 1.589373
 0.000130	 1.669849
 0.000140	 1.739096
 0.000150	 1.796705
 0.000160	 1.842354
 0.000170	 1.875813
 0.000180	 1.896942
 0.000190	 1.905693
 0.000200	 1.902113
 0.000210	 1.886338
 0.000220	 1.858594
 0.000230	 1.819196
 0.000240	 1.768541
 0.000250	 1.707108
 0.000260	 1.635452
 0.000270	 1.554200
 0.000280	 1.464043
 0.000290	 1.365734
 0.000300	 1.260076
 0.000310	 1.147923
 0.000320	 1.030164
 0.000330	 0.907722
 0.000340	 0.781542
 0.000350	 0.652587
 0.000360	 0.521828
 0.000370	 0.390236
 0.000380	 0.258773
 0.000390	 0.128388
 0.000400	 0.000006
 0.000410	-0.125479
 0.000420	-0.247209
 0.000430	-0.364370
 0.000440	-0.476197
 0.000450	-0.581984
 0.000460	-0.681081
 0.000470	-0.772907
 0.000480	-0.856949
 0.000490	-0.932767
 0.000500	-0.999996
 0.000510	-1.058349
 0.000520	-1.107618
 0.000530	-1.147673
 0.000540	-1.178465
 0.000550	-1.200023
 0.000560	-1.212452
 0.000570	-1.215934
 0.000580	-1.210723
 0.000590	-1.197140
 0.000600	-1.175572
 0.000610	-1.146467
 0.000620	-1.110328
 0.000630	-1.067709
 0.000640	-1.019206
 0.000650	-0.965454
 0.000660	-0.907121
 0.000670	-0.844899
 0.000680	-0.779497
 0.000690	-0.711636
 0.000700	-0.642043
 0.000710	-0.571438
 0.000720	-0.500537
 0.000730	-0.430034
 0.000740	-0.360606
 0.000750	-0.292896
 0.000760	-0.227516
 0.000770	-0.165036
 0.000780	-0.105983
 0.000790	-0.050830
 0.000800	-0.000002
 0.000810	 0.046139
 0.000820	 0.087286
 0.000830	 0.123199
 0.000840	 0.153698
 0.000850	 0.178671
 0.000860	 0.198069
 0.000870	 0.211912
 0.000880	 0.220280
 0.000890	 0.223318
 0.000900	 0.221232
 0.000910	 0.214284
 0.000920	 0.202794
 0.000930	 0.187128
 0.000940	 0.167703
 0.000950	 0.144974
 0.000960	 0.119435
 0.000970	 0.091610
 0.000980	 0.062049
 0.000990	 0.031319
 0.001000	 0.000001
 0.001010	-0.031317
 0.001020	-0.062047
 0.001030	-0.091608
 0.001040	-0.119433
 0.001050	-0.144972
 0.001060	-0.167701
 0.001070	-0.187127
 0.001080	-0.202792
 0.001090	-0.214284
 0.001100	-0.221231
 0.001110	-0.223318
 0.001120	-0.220280
 0.001130	-0.211913
 0.001140	-0.198072
 0.001150	-0.178674
 0.001160	-0.153702
 0.001170	-0.123204
 0.001180	-0.087292
 0.001190	-0.046146
 0.001200	-0.000006
 0.001210	 0.050821
 0.001220	 0.105973
 0.001230	 0.165025
 0.001240	 0.227504
 0.001250	 0.292883
 0.001260	 0.360592
 0.001270	 0.430020
 0.001280	 0.500522
 0.001290	 0.571423
 0.001300	 0.642027
 0.001310	 0.711621
 0.001320	 0.779481
 0.001330	 0.844884
 0.001340	 0.907106
 0.001350	 0.965440
 0.001360	 1.019192
 0.001370	 1.067697
 0.001380	 1.110318
 0.001390	 1.146458
 0.001400	 1.175565
 0.001410	 1.197134
 0.001420	 1.210720
 0.001430	 1.215934
 0.001440	 1.212454
 0.001450	 1.200028
 0.001460	 1.178473
 0.001470	 1.147684
 0.001480	 1.107632
 0.001490	 1.058367
 0.001500	 1.000017
 0.001510	 0.932792
 0.001520	 0.856977
 0.001530	 0.772938
 0.001540	 0.681115
 0.001550	 0.582020
 0.001560	 0.476237
 0.001570	 0.364411
 0.001580	 0.247253
 0.001590	 0.125525
 0.001600	 0.000041
 0.001610	-0.128340
 0.001620	-0.258724
 0.001630	-0.390186
 0.001640	-0.521778
 0.001650	-0.652537
 0.001660	-0.781492
 0.001670	-0.907673
 0.001680	-1.030116
 0.001690	-1.147877
 0.001700	-1.260033
 0.001710	-1.365692
 0.001720	-1.464005
 0.001730	-1.554165
 0.001740	-1.635421
 0.001750	-1.707080
 0.001760	-1.768517
 0.001770	-1.819177
 0.001780	-1.858580
 0.001790	-1.886329
 0.001800	-1.902109
 0.001810	-1.905694
 0.001820	-1.896948
 0.001830	-1.875825
 0.001840	-1.842372
 0.001850	-1.796728
 0.001860	-1.739125
 0.001870	-1.669884
 0.001880	-1.589414
 0.001890	-1.498211
 0.001900	-1.396852
 0.001910	-1.285993
 0.001920	-1.166360
 0.001930	-1.038750
 0.001940	-0.904019
 0.001950	-0.763079
 0.001960	-0.616887
 0.001970	-0.466446
 0.001980	-0.312788
