t       	v
 0.000000	 0.000000
 0.020000	 0.125333
 0.040000	 0.248690
 0.060000	 0.368124
 0.080000	 0.481753
 0.100000	 0.587785
 0.120000	 0.684547
 0.140000	 0.770513
 0.160000	 0.844327
 0.180000	 0.904827
 0.200000	 0.951056
 0.220000	 0.982287
 0.240000	 0.998027
 0.260000	 0.998027
 0.280000	 0.982288
 0.300000	 0.951057
 0.320000	 0.904828
 0.340000	 0.844329
 0.360000	 0.770514
 0.380000	 0.684548
 0.400000	 0.587787
 0.420000	 0.481755
 0.440000	 0.368126
 0.460000	 0.248692
 0.480000	 0.125335
 0.500000	 0.000002
 0.520000	-0.125331
 0.540000	-0.248687
 0.560000	-0.368122
 0.580000	-0.481751
 0.600000	-0.587783
 0.620000	-0.684544
 0.640000	-0.770511
 0.660000	-0.844326
 0.680000	-0.904825
 0.700000	-0.951055
 0.720000	-0.982286
 0.740000	-0.998026
 0.760000	-0.998027
 0.780000	-0.982288
 0.800000	-0.951058
 0.820000	-0.904830
 0.840000	-0.844331
 0.860000	-0.770517
 0.880000	-0.684552
 0.900000	-0.587791
 0.920000	-0.481760
 0.940000	-0.368131
 0.960000	-0.248697
 0.980000	-0.125341
 1.000000	-0.000008
 1.020000	 0.125326
 1.040000	 0.248682
 1.060000	 0.368117
 1.080000	 0.481746
 1.100000	 0.587778
 1.120000	 0.684541
 1.140000	 0.770507
 1.159999	 0.844323
 1.179999	 0.904823
 1.199999	 0.951054
 1.219999	 0.982285
 1.239999	 0.998026
 1.259999	 0.998027
 1.279999	 0.982289
 1.299999	 0.951060
 1.319999	 0.904832
 1.339999	 0.844334
 1.359999	 0.770521
 1.379999	 0.684556
 1.399999	 0.587795
 1.419999	 0.481764
 1.439999	 0.368136
 1.459999	 0.248702
 1.479999	 0.125346
 1.499999	 0.000013
 1.519999	-0.125320
 1.539999	-0.248677
 1.559999	-0.368112
 1.579999	-0.481741
 1.599999	-0.587774
 1.619999	-0.684537
 1.639999	-0.770504
 1.659999	-0.844320
 1.679999	-0.904821
 1.699999	-0.951052
 1.719999	-0.982284
 1.739999	-0.998026
 1.759999	-0.998028
 1.779999	-0.982290
 1.799999	-0.951062
 1.819999	-0.904834
 1.839999	-0.844337
 1.859999	-0.770524
 1.879999	-0.684560
 1.899999	-0.587800
 1.919999	-0.481769
 1.939999	-0.368141
 1.959999	-0.248708
 1.979999	-0.125352
 1.999999	-0.000019
