t       	v
 0.000000	 0.000000
 0.000020	 0.012533
 0.000040	 0.024869
 0.000060	 0.036812
 0.000080	 0.048175
 0.000100	 0.058778
 0.000120	 0.068455
 0.000140	 0.077051
 0.000160	 0.084433
 0.000180	 0.090483
 0.000200	 0.095106
 0.000220	 0.098229
 0.000240	 0.099803
 0.000260	 0.099803
 0.000280	 0.098229
 0.000300	 0.095106
 0.000320	 0.090483
 0.000340	 0.084433
 0.000360	 0.077051
 0.000380	 0.068455
 0.000400	 0.058779
 0.000420	 0.048176
 0.000440	 0.036813
 0.000460	 0.024869
 0.000480	 0.012534
 0.000500	 0.000000
 0.000520	-0.012533
 0.000540	-0.024869
 0.000560	-0.036812
 0.000580	-0.048175
 0.000600	-0.058778
 0.000620	-0.068454
 0.000640	-0.077051
 0.000660	-0.084433
 0.000680	-0.090483
 0.000700	-0.095106
 0.000720	-0.098229
 0.000740	-0.099803
 0.000760	-0.099803
 0.000780	-0.098229
 0.000800	-0.095106
 0.000820	-0.090483
 0.000840	-0.084433
 0.000860	-0.077052
 0.000880	-0.068455
 0.000900	-0.058779
 0.000920	-0.048176
 0.000940	-0.036813
 0.000960	-0.024870
 0.000980	-0.012534
 0.001000	-0.000001
 0.001020	 0.012533
 0.001040	 0.024868
 0.001060	 0.036812
 0.001080	 0.048175
 0.001100	 0.058778
 0.001120	 0.068454
 0.001140	 0.077051
 0.001160	 0.084432
 0.001180	 0.090482
 0.001200	 0.095105
 0.001220	 0.098229
 0.001240	 0.099803
 0.001260	 0.099803
 0.001280	 0.098229
 0.001300	 0.095106
 0.001320	 0.090483
 0.001340	 0.084433
 0.001360	 0.077052
 0.001380	 0.068455
 0.001400	 0.058779
 0.001420	 0.048176
 0.001440	 0.036813
 0.001460	 0.024869
 0.001480	 0.012534
 0.001500	 0.000000
 0.001520	-0.012533
 0.001540	-0.024869
 0.001560	-0.036812
 0.001580	-0.048175
 0.001600	-0.058778
 0.001620	-0.068454
 0.001640	-0.077051
 0.001660	-0.084433
 0.001680	-0.090483
 0.001700	-0.095106
 0.001720	-0.098229
 0.001740	-0.099803
 0.001760	-0.099803
 0.001780	-0.098229
 0.001800	-0.095106
 0.001820	-0.090483
 0.001840	-0.084433
 0.001860	-0.077052
 0.001880	-0.068455
 0.001900	-0.058779
 0.001920	-0.048176
 0.001940	-0.036813
 0.001960	-0.024869
 0.001980	-0.012534
