t       	v       	Ic       	Id
 0    	 0    	 1e-09	 0.001
 2.5e-05	 0.0343815	 3.75229e-09	 0.00103468
 5e-05	 0.0677141	 1.3523e-08	 0.00106886
 7.5e-05	 0.0989816	 4.50146e-08	 0.00110143
 0.0001	 0.127233	 1.33431e-07	 0.00113128
 0.000125	 0.151612	 3.40782e-07	 0.00115736
 0.00015	 0.171384	 7.29023e-07	 0.00117873
 0.000175	 0.185959	 1.277e-06	 0.0011946
 0.0002	 0.194908	 1.80168e-06	 0.00120441
 0.000225	 0.19798	 2.02764e-06	 0.00120778
 0.00025	 0.195106	 1.81541e-06	 0.00120462
 0.000275	 0.1864	 1.29883e-06	 0.00119509
 0.0003	 0.172157	 7.51018e-07	 0.00117957
 0.000325	 0.152843	 3.57305e-07	 0.00115868
 0.00035	 0.129077	 1.43239e-07	 0.00113324
 0.000375	 0.101613	 4.98085e-08	 0.00110419
 0.0004	 0.0713124	 1.55302e-08	 0.00107258
 0.000425	 0.0391206	 4.50253e-09	 0.0010395
 0.00045	 0.00603338	 1.26119e-09	 0.00100604
 0.000475	-0.0269338	 3.54902e-10	 0.000973248
 0.0005	-0.0587778	 1.04279e-10	 0.000942086
 0.000525	-0.0885397	 3.31945e-11	 0.00091342
 0.00055	-0.115334	 1.18442e-11	 0.000887992
 0.000575	-0.138376	 4.88219e-12	 0.000866411
 0.0006	-0.157007	 2.3846e-12	 0.000849156
 0.000625	-0.17071	 1.40772e-12	 0.000836575
 0.00065	-0.17913	 1.01829e-12	 0.000828892
 0.000675	-0.182078	 9.0914e-13	 0.00082621
 0.0007	-0.179539	 1.00243e-12	 0.00082852
 0.000725	-0.171666	 1.35692e-12	 0.000835701
 0.00075	-0.158779	 2.22749e-12	 0.000847524
 0.000775	-0.141347	 4.35499e-12	 0.000863647
 0.0008	-0.119975	 9.90781e-12	 0.000883623
 0.000825	-0.0953804	 2.55153e-11	 0.000906894
 0.00085	-0.0683691	 7.21087e-11	 0.000932799
 0.000875	-0.0398097	 2.16288e-10	 0.000960586
 0.0009	-0.0106039	 6.65083e-10	 0.000989424
 0.000925	 0.0183426	 2.02483e-09	 0.00101843
 0.00095	 0.0461489	 5.90003e-09	 0.00104668
 0.000975	 0.0719866	 1.59381e-08	 0.00107328
 0.001	 0.0951051	 3.87793e-08	 0.00109737
 0.001025	 0.114854	 8.28868e-08	 0.00111815
 0.00105	 0.130704	 1.52486e-07	 0.00113497
 0.001075	 0.142257	 2.37799e-07	 0.00114732
 0.0011	 0.149261	 3.11316e-07	 0.00115483
 0.001125	 0.151612	 3.40783e-07	 0.00115736
 0.00115	 0.149357	 3.12463e-07	 0.00115493
 0.001175	 0.142684	 2.41733e-07	 0.00114777
 0.0012	 0.131919	 1.5978e-07	 0.00113627
 0.001225	 0.117508	 9.17924e-08	 0.00112096
 0.00125	 0.100001	 4.68145e-08	 0.0011025
 0.001275	 0.0800319	 2.17182e-08	 0.00108163
 0.0013	 0.0582945	 9.41304e-09	 0.00105914
 0.001325	 0.0355194	 3.92015e-09	 0.00103583
 0.00135	 0.0124484	 1.61411e-09	 0.00101249
 0.001375	-0.0101896	 6.75767e-10	 0.000989836
 0.0014	-0.0317028	 2.95426e-10	 0.000968548
 0.001425	-0.0514579	 1.38186e-10	 0.000949204
 0.00145	-0.0688998	 7.06518e-11	 0.000932287
 0.001475	-0.083567	 4.01908e-11	 0.000918179
 0.0015	-0.0951049	 2.57871e-11	 0.000907156
 0.001525	-0.103274	 1.88346e-11	 0.000899393
 0.00155	-0.107953	 1.57324e-11	 0.000894961
 0.001575	-0.109141	 1.50294e-11	 0.000893836
 0.0016	-0.106954	 1.63484e-11	 0.000895906
 0.001625	-0.101613	 2.00768e-11	 0.000900968
 0.00165	-0.0934359	 2.74967e-11	 0.000908747
 0.001675	-0.0828227	 4.1358e-11	 0.000918892
 0.0017	-0.070238	 6.71074e-11	 0.000930995
 0.001725	-0.0561924	 1.15182e-10	 0.000944597
 0.00175	-0.0412231	 2.04845e-10	 0.000959202
 0.001775	-0.0258736	 3.69672e-10	 0.000974294
 0.0018	-0.0106745	 6.63281e-10	 0.000989354
 0.001825	 0.00387543	 1.16074e-09	 0.00100388
 0.00185	 0.0173256	 1.94715e-09	 0.0010174
 0.001875	 0.029288	 3.08473e-09	 0.0010295
 0.0019	 0.0394491	 4.55978e-09	 0.00103984
 0.001925	 0.0475777	 6.23335e-09	 0.00104814
 0.00195	 0.0535305	 7.83707e-09	 0.00105425
 0.001975	 0.0572531	 9.04346e-09	 0.00105807
 0.002	 0.0587785	 9.5899e-09	 0.00105964
 0.002025	 0.0582216	 9.38668e-09	 0.00105907
 0.00205	 0.0557711	 8.54241e-09	 0.00105655
 0.002075	 0.0516788	 7.29832e-09	 0.00105235
 0.0021	 0.046246	 5.92212e-09	 0.00104678
 0.002125	 0.0398099	 4.6235e-09	 0.00104021
 0.00215	 0.0327274	 3.521e-09	 0.001033
 0.002175	 0.0253593	 2.65212e-09	 0.00102552
 0.0022	 0.0180554	 2.00258e-09	 0.00101814
 0.002225	 0.0111392	 1.53485e-09	 0.00101117
 0.00225	 0.00489525	 1.20717e-09	 0.0010049
 0.002275	-0.00044188	 9.83148e-10	 0.000999558
 0.0023	-0.00469644	 8.34742e-10	 0.000995309
 0.002325	-0.00775727	 7.42037e-10	 0.000992258
 0.00235	-0.00958081	 6.91776e-10	 0.000990442
 0.002375	-0.010191	 6.7573e-10	 0.000989835
 0.0024	-0.00967636	 6.89239e-10	 0.000990347
 0.002425	-0.00818396	 7.29958e-10	 0.000991833
 0.00245	-0.00591121	 7.96639e-10	 0.000994098
 0.002475	-0.00309522	 8.87766e-10	 0.000996907
 0.0025	-5.64964e-07	 9.99978e-10	 0.000999999
 0.002525	 0.00309414	 1.12638e-09	 0.0010031
 0.00255	 0.00591028	 1.25523e-09	 0.00100592
 0.002575	 0.00818327	 1.3699e-09	 0.0010082
 0.0026	 0.00967599	 1.45086e-09	 0.0010097
 0.002625	 0.010191	 1.47988e-09	 0.00101022
 0.00265	 0.00958124	 1.44558e-09	 0.0010096
