TBJ_JFET  
Vin = 0.03*sen(2*PI*1000.0*t) + 0.03*sen(2*PI*1200.0*t)
Is = 1.00e-11  Idss = 2.00
Vt = 0.026     Vp   = -2.00
Tensiones de polarización
Vbe = 0.900
Vgs = -0.600

t [s]   	Vin [V] 	Ic [mA] 	Id [mA] 	
 0.000000	 0.000000	 10796.190430	 0.980000
 0.000025	 0.008595	 15026.046875	 0.992070
 0.000050	 0.016929	 20703.244141	 1.003843
 0.000075	 0.024745	 27964.615234	 1.014950
 0.000100	 0.031808	 36693.109375	 1.025038
 0.000125	 0.037903	 46386.281250	 1.033783
 0.000150	 0.042846	 56099.074219	 1.040902
 0.000175	 0.046490	 64538.347656	 1.046166
 0.000200	 0.048727	 70337.937500	 1.049405
 0.000225	 0.049495	 72446.625000	 1.050518
 0.000250	 0.048776	 70471.593750	 1.049477
 0.000275	 0.046600	 64812.429688	 1.046326
 0.000300	 0.043039	 56517.531250	 1.041181
 0.000325	 0.038211	 46938.621094	 1.034225
 0.000350	 0.032269	 37349.617188	 1.025698
 0.000375	 0.025403	 28681.142578	 1.015887
 0.000400	 0.017828	 21432.091797	 1.005118
 0.000425	 0.009780	 15726.592773	 0.993740
 0.000450	 0.001508	 11441.036133	 0.982113
 0.000475	-0.006733	 8332.925781	 0.970596
 0.000500	-0.014694	 6135.073242	 0.959536
 0.000525	-0.022135	 4608.260742	 0.949256
 0.000550	-0.028833	 3561.612549	 0.940049
 0.000575	-0.034594	 2853.804199	 0.932167
 0.000600	-0.039252	 2385.746338	 0.925818
 0.000625	-0.042678	 2091.218750	 0.921162
 0.000650	-0.044783	 1928.585327	 0.918307
 0.000675	-0.045520	 1874.684570	 0.917309
 0.000700	-0.044885	 1921.028687	 0.918169
 0.000725	-0.042916	 2072.093018	 0.920838
 0.000750	-0.039695	 2345.440186	 0.925215
 0.000775	-0.035337	 2773.430664	 0.931153
 0.000800	-0.029994	 3406.159180	 0.938459
 0.000825	-0.023845	 4314.900879	 0.946901
 0.000850	-0.017092	 5594.579102	 0.956217
 0.000875	-0.009952	 7362.557617	 0.966116
 0.000900	-0.002651	 9749.660156	 0.976292
 0.000925	 0.004586	 12878.565430	 0.986430
 0.000950	 0.011537	 16826.125000	 0.996219
 0.000975	 0.017997	 21571.472656	 1.005357
 0.001000	 0.023776	 26941.425781	 1.013569
 0.001025	 0.028714	 32575.564453	 1.020611
 0.001050	 0.032676	 37938.324219	 1.026280
 0.001075	 0.035564	 42395.804688	 1.030422
 0.001100	 0.037315	 45349.347656	 1.032938
 0.001125	 0.037903	 46386.320312	 1.033783
 0.001150	 0.037339	 45391.031250	 1.032972
 0.001175	 0.035671	 42570.105469	 1.030576
 0.001200	 0.032980	 38384.066406	 1.026715
 0.001225	 0.029377	 33417.367188	 1.021559
 0.001250	 0.025000	 28240.054688	 1.015313
 0.001275	 0.020008	 23306.455078	 1.008211
 0.001300	 0.014574	 18910.498047	 1.000509
 0.001325	 0.008880	 15191.341797	 0.992471
 0.001350	 0.003112	 12168.976562	 0.984362
 0.001375	-0.002547	 9788.583008	 0.976437
 0.001400	-0.007926	 7959.442383	 0.968935
 0.001425	-0.012864	 6582.438965	 0.962072
 0.001450	-0.017225	 5566.103516	 0.956033
 0.001475	-0.020892	 4833.951172	 0.950970
 0.001500	-0.023776	 4326.346191	 0.946996
 0.001525	-0.025818	 3999.534668	 0.944188
 0.001550	-0.026988	 3823.574707	 0.942581
 0.001575	-0.027285	 3780.120605	 0.942173
 0.001600	-0.026739	 3860.463379	 0.942923
 0.001625	-0.025403	 4063.908691	 0.944758
 0.001650	-0.023359	 4396.334473	 0.947570
 0.001675	-0.020706	 4868.670898	 0.951226
 0.001700	-0.017559	 5494.942383	 0.955571
 0.001725	-0.014048	 6289.502441	 0.960431
 0.001750	-0.010306	 7263.180176	 0.965625
 0.001775	-0.006468	 8418.306641	 0.970965
 0.001800	-0.002669	 9743.048828	 0.976268
 0.001825	 0.000969	 11206.086914	 0.981357
 0.001850	 0.004331	 12753.240234	 0.986073
 0.001875	 0.007322	 14307.859375	 0.990278
 0.001900	 0.009862	 15776.345703	 0.993856
 0.001925	 0.011894	 17058.892578	 0.996723
 0.001950	 0.013383	 18063.792969	 0.998825
 0.001975	 0.014313	 18722.083984	 1.000141
 0.002000	 0.014695	 18998.705078	 1.000680
 0.002025	 0.014555	 18897.246094	 1.000484
 0.002050	 0.013943	 18457.193359	 0.999617
 0.002075	 0.012920	 17745.011719	 0.998171
 0.002100	 0.011562	 16841.847656	 0.996253
 0.002125	 0.009952	 15831.177734	 0.993983
 0.002150	 0.008182	 14788.941406	 0.991488
 0.002175	 0.006340	 13777.448242	 0.988896
 0.002200	 0.004514	 12843.050781	 0.986330
 0.002225	 0.002785	 12016.740234	 0.983903
 0.002250	 0.001224	 11316.512695	 0.981714
 0.002275	-0.000110	 10750.416016	 0.979845
 0.002300	-0.001174	 10319.500000	 0.978357
 0.002325	-0.001939	 10020.211914	 0.977287
 0.002350	-0.002395	 9846.047852	 0.976650
 0.002375	-0.002548	 9788.446289	 0.976436
 0.002400	-0.002419	 9837.005859	 0.976616
 0.002425	-0.002046	 9979.184570	 0.977138
 0.002450	-0.001478	 10199.664062	 0.977932
 0.002475	-0.000774	 10479.611328	 0.978917
 0.002500	-0.000000	 10796.131836	 0.980000
 0.002525	 0.000774	 11122.216797	 0.981083
 0.002550	 0.001478	 11427.501953	 0.982070
 0.002575	 0.002046	 11680.006836	 0.982866
 0.002600	 0.002419	 11848.860352	 0.983389
 0.002625	 0.002548	 11907.684570	 0.983570
 0.002650	 0.002395	 11838.070312	 0.983356
 0.002675	 0.001940	 11632.360352	 0.982717
 0.002700	 0.001174	 11295.043945	 0.981645
 0.002725	 0.000111	 10842.339844	 0.980155
 0.002750	-0.001223	 10299.999023	 0.978288
 0.002775	-0.002784	 9699.833984	 0.976106
 0.002800	-0.004513	 9075.772461	 0.973692
 0.002825	-0.006339	 8460.252930	 0.971145
 0.002850	-0.008181	 7881.609375	 0.968580
 0.002875	-0.009952	 7362.716797	 0.966117
 0.002900	-0.011561	 6920.864258	 0.963881
 0.002925	-0.012919	 6568.587402	 0.961996
 0.002950	-0.013942	 6315.102051	 0.960578
 0.002975	-0.014555	 6168.006836	 0.959729
 0.003000	-0.014695	 6135.024902	 0.959535
 0.003025	-0.014314	 6225.625000	 0.960064
 0.003050	-0.013383	 6452.452637	 0.961353
 0.003075	-0.011895	 6832.500000	 0.963418
 0.003100	-0.009863	 7387.897461	 0.966240
 0.003125	-0.007323	 8146.099609	 0.969775
 0.003150	-0.004333	 9139.055664	 0.973944
 0.003175	-0.000970	 10400.781250	 0.978642
 0.003200	 0.002667	 11962.548828	 0.983738
 0.003225	 0.006467	 13845.008789	 0.989075
 0.003250	 0.010304	 16046.906250	 0.994479
 0.003275	 0.014047	 18531.169922	 0.999764
 0.003300	 0.017558	 21210.835938	 1.004736
 0.003325	 0.020705	 23939.390625	 1.009201
 0.003350	 0.023358	 26511.609375	 1.012974
 0.003375	 0.025403	 28680.507812	 1.015886
 0.003400	 0.026738	 30192.279297	 1.017791
 0.003425	 0.027285	 30834.337891	 1.018572
 0.003450	 0.026988	 30484.273438	 1.018148
 0.003475	 0.025819	 29143.470703	 1.016480
 0.003500	 0.023777	 26942.298828	 1.013571
 0.003525	 0.020893	 24113.406250	 1.009468
 0.003550	 0.017226	 20941.798828	 1.004265
 0.003575	 0.012866	 17708.519531	 0.998095
 0.003600	 0.007928	 14645.005859	 0.991130
 0.003625	 0.002549	 11908.431641	 0.983572
 0.003650	-0.003110	 9579.029297	 0.975651
 0.003675	-0.008878	 7673.253418	 0.967611
 0.003700	-0.014572	 6164.128418	 0.959706
 0.003725	-0.020006	 5001.454102	 0.952192
 0.003750	-0.024999	 4127.659180	 0.945314
 0.003775	-0.029375	 3488.132324	 0.939306
 0.003800	-0.032979	 3036.750488	 0.934374
 0.003825	-0.035670	 2738.101318	 0.930698
 0.003850	-0.037339	 2567.898193	 0.928423
 0.003875	-0.037903	 2512.760498	 0.927654
 0.003900	-0.037316	 2570.176758	 0.928454
 0.003925	-0.035565	 2749.186279	 0.930841
 0.003950	-0.032677	 3072.148682	 0.934786
 0.003975	-0.028715	 3577.851318	 0.940211
 0.004000	-0.023778	 4326.016113	 0.946993
 0.004025	-0.017999	 5402.864746	 0.954964
 0.004050	-0.011540	 6926.533203	 0.963911
 0.004075	-0.004588	 9049.610352	 0.973587
 0.004100	 0.002648	 11953.815430	 0.983711
 0.004125	 0.009950	 15829.504883	 0.993979
 0.004150	 0.017090	 20831.955078	 1.004072
 0.004175	 0.023843	 27010.306641	 1.013664
 0.004200	 0.029992	 34216.816406	 1.022438
 0.004225	 0.035335	 42023.546875	 1.030093
 0.004250	 0.039693	 49692.667969	 1.036358
 0.004275	 0.042915	 56249.027344	 1.041003
 0.004300	 0.044884	 60673.449219	 1.043845
 0.004325	 0.045520	 62174.625000	 1.044763
 0.004350	 0.044783	 60438.203125	 1.043699
 0.004375	 0.042679	 55739.093750	 1.040661
 0.004400	 0.039253	 48858.906250	 1.035725
 0.004425	 0.034596	 40846.214844	 1.029033
 0.004450	 0.028836	 32729.273438	 1.020786
 0.004475	 0.022138	 25296.003906	 1.011238
 0.004500	 0.014698	 19000.884766	 1.000685
 0.004525	 0.006737	 13989.395508	 0.989454
 0.004550	-0.001505	 10189.017578	 0.977894
 0.004575	-0.009777	 7412.463379	 0.966360
 0.004600	-0.017825	 5439.141602	 0.955204
 0.004625	-0.025400	 4064.382324	 0.944762
 0.004650	-0.032267	 3121.040039	 0.935347
 0.004675	-0.038209	 2483.408691	 0.927238
 0.004700	-0.043038	 2062.467773	 0.920674
 0.004725	-0.046599	 1798.468628	 0.915848
 0.004750	-0.048776	 1654.006104	 0.912903
 0.004775	-0.049495	 1608.876587	 0.911932
 0.004800	-0.048728	 1657.069702	 0.912968
 0.004825	-0.046491	 1805.936035	 0.915993
 0.004850	-0.042848	 2077.565674	 0.920931
 0.004875	-0.037905	 2512.534668	 0.927651
 0.004900	-0.031811	 3176.211182	 0.935970
 0.004925	-0.024749	 4167.528809	 0.945658
 0.004950	-0.016932	 5629.168457	 0.956439
