TBJ_JFET  
Vin = 0.02*sen(2*PI*1000.0*t) + 0.02*sen(2*PI*1500.0*t)
Is = 1.00e-11  Idss = 2.00
Vt = 0.026     Vp   = -2.00
Tensiones de polarización
Vbe = 0.900
Vgs = -0.600

t [s]   	Vin [V] 	Ic [mA] 	Id [mA] 	
 0.000000	 0.000000	 10796.190430	 0.980000
 0.000010	 0.003138	 12181.087891	 0.984398
 0.000020	 0.006254	 13732.190430	 0.988776
 0.000030	 0.009327	 15455.130859	 0.993102
 0.000040	 0.012336	 17351.267578	 0.997347
 0.000050	 0.015260	 19416.470703	 1.001481
 0.000060	 0.018079	 21639.923828	 1.005474
 0.000070	 0.020774	 24003.082031	 1.009299
 0.000080	 0.023326	 26478.873047	 1.012928
 0.000090	 0.025719	 29031.332031	 1.016337
 0.000100	 0.027936	 31615.769531	 1.019501
 0.000110	 0.029963	 34179.570312	 1.022398
 0.000120	 0.031787	 36663.742188	 1.025008
 0.000130	 0.033397	 39005.097656	 1.027313
 0.000140	 0.034782	 41139.109375	 1.029300
 0.000150	 0.035934	 43003.171875	 1.030953
 0.000160	 0.036847	 44540.054688	 1.032265
 0.000170	 0.037516	 45701.281250	 1.033226
 0.000180	 0.037939	 46450.128906	 1.033834
 0.000190	 0.038114	 46763.886719	 1.034086
 0.000200	 0.038042	 46635.277344	 1.033983
 0.000210	 0.037727	 46072.789062	 1.033529
 0.000220	 0.037172	 45099.960938	 1.032732
 0.000230	 0.036384	 43753.640625	 1.031599
 0.000240	 0.035371	 42081.546875	 1.030145
 0.000250	 0.034142	 40139.195312	 1.028382
 0.000260	 0.032709	 37986.597656	 1.026328
 0.000270	 0.031084	 35685.042969	 1.024001
 0.000280	 0.029281	 33294.101562	 1.021422
 0.000290	 0.027315	 30869.160156	 1.018614
 0.000300	 0.025202	 28459.525391	 1.015600
 0.000310	 0.022958	 26107.197266	 1.012405
 0.000320	 0.020603	 23846.255859	 1.009057
 0.000330	 0.018154	 21702.787109	 1.005581
 0.000340	 0.015631	 19695.287109	 1.002005
 0.000350	 0.013052	 17835.369141	 0.998358
 0.000360	 0.010437	 16128.691406	 0.994666
 0.000370	 0.007805	 14575.978516	 0.990957
 0.000380	 0.005175	 13174.060547	 0.987259
 0.000390	 0.002568	 11916.852539	 0.983598
 0.000400	 0.000000	 10796.239258	 0.980000
 0.000410	-0.002510	 9802.828125	 0.976490
 0.000420	-0.004944	 8926.573242	 0.973090
 0.000430	-0.007287	 8157.264648	 0.969824
 0.000440	-0.009524	 7484.899414	 0.966712
 0.000450	-0.011640	 6899.945312	 0.963772
 0.000460	-0.013622	 6393.519043	 0.961022
 0.000470	-0.015458	 5957.490723	 0.958478
 0.000480	-0.017139	 5584.538086	 0.956152
 0.000490	-0.018655	 5268.155762	 0.954057
 0.000500	-0.020000	 5002.639160	 0.952200
 0.000510	-0.021167	 4783.050781	 0.950590
 0.000520	-0.022152	 4605.170410	 0.949232
 0.000530	-0.022953	 4465.440918	 0.948129
 0.000540	-0.023569	 4360.915039	 0.947281
 0.000550	-0.024000	 4289.194824	 0.946687
 0.000560	-0.024249	 4248.380859	 0.946345
 0.000570	-0.024319	 4237.015625	 0.946250
 0.000580	-0.024214	 4254.035645	 0.946393
 0.000590	-0.023943	 4298.717285	 0.946767
 0.000600	-0.023511	 4370.630371	 0.947360
 0.000610	-0.022929	 4469.584961	 0.948162
 0.000620	-0.022207	 4595.577637	 0.949157
 0.000630	-0.021354	 4748.737305	 0.950332
 0.000640	-0.020384	 4929.260254	 0.951670
 0.000650	-0.019309	 5137.343750	 0.953154
 0.000660	-0.018142	 5373.114258	 0.954765
 0.000670	-0.016898	 5636.543945	 0.956486
 0.000680	-0.015590	 5927.368164	 0.958296
 0.000690	-0.014233	 6244.997559	 0.960175
 0.000700	-0.012841	 6588.425293	 0.962105
 0.000710	-0.011429	 6956.144531	 0.964065
 0.000720	-0.010011	 7346.067871	 0.966035
 0.000730	-0.008601	 7755.464844	 0.967996
 0.000740	-0.007212	 8180.918457	 0.969929
 0.000750	-0.005858	 8618.308594	 0.971816
 0.000760	-0.004550	 9062.826172	 0.973640
 0.000770	-0.003301	 9509.033203	 0.975384
 0.000780	-0.002120	 9950.952148	 0.977035
 0.000790	-0.001017	 10382.202148	 0.978577
 0.000800	-0.000000	 10796.175781	 0.980000
 0.000810	 0.000923	 11186.243164	 0.981292
 0.000820	 0.001746	 11545.972656	 0.982446
 0.000830	 0.002464	 11869.375977	 0.983453
 0.000840	 0.003074	 12151.133789	 0.984308
 0.000850	 0.003573	 12386.811523	 0.985009
 0.000860	 0.003961	 12573.035156	 0.985554
 0.000870	 0.004238	 12707.627930	 0.985942
 0.000880	 0.004406	 12789.689453	 0.986178
 0.000890	 0.004466	 12819.615234	 0.986263
 0.000900	 0.004425	 12799.059570	 0.986204
 0.000910	 0.004286	 12730.841797	 0.986009
 0.000920	 0.004056	 12618.809570	 0.985686
 0.000930	 0.003743	 12467.659180	 0.985247
 0.000940	 0.003354	 12282.744141	 0.984701
 0.000950	 0.002899	 12069.864258	 0.984063
 0.000960	 0.002389	 11835.062500	 0.983347
 0.000970	 0.001832	 11584.439453	 0.982567
 0.000980	 0.001241	 11323.986328	 0.981738
 0.000990	 0.000626	 11059.442383	 0.980877
 0.001000	 0.000000	 10796.199219	 0.980000
 0.001010	-0.000626	 10539.220703	 0.979123
 0.001020	-0.001241	 10293.009766	 0.978263
 0.001030	-0.001832	 10061.590820	 0.977437
 0.001040	-0.002389	 9848.523438	 0.976659
 0.001050	-0.002899	 9656.934570	 0.975945
 0.001060	-0.003354	 9489.563477	 0.975310
 0.001070	-0.003743	 9348.816406	 0.974767
 0.001080	-0.004056	 9236.833008	 0.974330
 0.001090	-0.004286	 9155.545898	 0.974009
 0.001100	-0.004425	 9106.745117	 0.973815
 0.001110	-0.004466	 9092.138672	 0.973757
 0.001120	-0.004406	 9113.408203	 0.973842
 0.001130	-0.004238	 9172.254883	 0.974075
