TBJ_JFET  
Vin = 0.04*sen(2*PI*1000.0*t) + 0.04*sen(2*PI*1200.0*t)
Is = 1.00e-11  Idss = 2.00
Vt = 0.026     Vp   = -2.00
Tensiones de polarización
Vbe = 0.775
Vgs = -0.600

t [s]   	Vin [V] 	Ic [mA] 	Id [mA] 	
 0.000000	 0.000000	 88.169075	 0.980000
 0.000025	 0.013753	 149.635635	 0.999348
 0.000050	 0.027086	 249.887711	 1.018287
 0.000075	 0.039593	 404.257050	 1.036214
 0.000100	 0.050893	 624.336365	 1.052546
 0.000125	 0.060645	 908.461792	 1.066742
 0.000150	 0.068554	 1231.438110	 1.078325
 0.000175	 0.074384	 1540.962158	 1.086903
 0.000200	 0.077963	 1768.426270	 1.092188
 0.000225	 0.079192	 1854.011963	 1.094005
 0.000250	 0.078042	 1773.805664	 1.092304
 0.000275	 0.074560	 1551.446411	 1.087163
 0.000300	 0.068863	 1246.167603	 1.078779
 0.000325	 0.061137	 925.831604	 1.067461
 0.000350	 0.051631	 642.304871	 1.053616
 0.000375	 0.040645	 420.957062	 1.037729
 0.000400	 0.028525	 264.111145	 1.020342
 0.000425	 0.015648	 160.952911	 1.002030
 0.000450	 0.002413	 96.744888	 0.983382
 0.000475	-0.010774	 58.258526	 0.964975
 0.000500	-0.023511	 35.693985	 0.947361
 0.000525	-0.035416	 22.580975	 0.931045
 0.000550	-0.046134	 14.952649	 0.916477
 0.000575	-0.055350	 10.489676	 0.904041
 0.000600	-0.062803	 7.875574	 0.894048
 0.000625	-0.068284	 6.378560	 0.886734
 0.000650	-0.071652	 5.603580	 0.882254
 0.000675	-0.072831	 5.355113	 0.880688
 0.000700	-0.071815	 5.568492	 0.882037
 0.000725	-0.068666	 6.285476	 0.886225
 0.000750	-0.063512	 7.663768	 0.893101
 0.000775	-0.056539	 10.021003	 0.902444
 0.000800	-0.047990	 13.922184	 0.913965
 0.000825	-0.038152	 20.325293	 0.927315
 0.000850	-0.027348	 30.797205	 0.942087
 0.000875	-0.015924	 47.789158	 0.957833
 0.000900	-0.004242	 74.897385	 0.974071
 0.000925	 0.007337	 116.915329	 0.990299
 0.000950	 0.018460	 179.332092	 1.006014
 0.000975	 0.028795	 266.864685	 1.020727
 0.001000	 0.038042	 380.852142	 1.033982
 0.001025	 0.045942	 516.072327	 1.045374
 0.001050	 0.052282	 658.579895	 1.054561
 0.001075	 0.056903	 786.683655	 1.061283
 0.001100	 0.059704	 876.187622	 1.065369
 0.001125	 0.060645	 908.463196	 1.066742
 0.001150	 0.059743	 877.476501	 1.065424
 0.001175	 0.057073	 791.864746	 1.061532
 0.001200	 0.052767	 671.003906	 1.055267
 0.001225	 0.047003	 537.574951	 1.046909
 0.001250	 0.040000	 410.646667	 1.036801
 0.001275	 0.032013	 302.026794	 1.025330
 0.001300	 0.023318	 216.176361	 1.012917
 0.001325	 0.014208	 152.278030	 0.999992
 0.001350	 0.004979	 106.779999	 0.986984
 0.001375	-0.004076	 75.376358	 0.974302
 0.001400	-0.012681	 54.137188	 0.962327
 0.001425	-0.020583	 39.948673	 0.951395
 0.001450	-0.027560	 30.546783	 0.941796
 0.001475	-0.033427	 24.376257	 0.933761
 0.001500	-0.038042	 20.411617	 0.927465
 0.001525	-0.041309	 18.001080	 0.923020
