TBJ_JFET  -THD
Vin = 0.04*sen(2*PI*1000.0*t) + 0.04*sen(2*PI*1200.0*t)
Is = 1.00e-11  Idss = 2.00
Vt = 0.026     Vp   = -2.00
Tensiones de polarización
Vbe = 0.790
Vgs = -0.600

t [s]   	Vin [V] 	Ic [mA] 	Id [mA] 	
 0.000000	 0.000000	 156.989563	 0.980000
 0.000025	 0.013753	 266.420166	 0.985596
 0.000050	 0.027086	 444.910797	 0.991201
 0.000075	 0.039593	 719.760803	 0.996621
 0.000100	 0.050893	 1111.612061	 1.001652
 0.000125	 0.060645	 1617.502197	 1.006097
 0.000150	 0.068554	 2192.570312	 1.009771
 0.000175	 0.074384	 2743.687988	 1.012520
 0.000200	 0.077963	 3148.696045	 1.014224
 0.000225	 0.079192	 3301.084473	 1.014812
 0.000250	 0.078042	 3158.273926	 1.014262
 0.000275	 0.074560	 2762.355469	 1.012604
 0.000300	 0.068863	 2218.796631	 1.009916
 0.000325	 0.061137	 1648.429565	 1.006324
 0.000350	 0.051631	 1143.605225	 1.001985
 0.000375	 0.040645	 749.494995	 0.997084
 0.000400	 0.028525	 470.234924	 0.991817
 0.000425	 0.015648	 286.569275	 0.986382
 0.000450	 0.002413	 172.256836	 0.980968
 0.000475	-0.010774	 103.743065	 0.975749
 0.000500	-0.023511	 63.578484	 0.970872
 0.000525	-0.035416	 40.242001	 0.966461
 0.000550	-0.046134	 26.670094	 0.962611
 0.000575	-0.055350	 18.732759	 0.959392
 0.000600	-0.062803	 14.085666	 0.956851
 0.000625	-0.068284	 11.425638	 0.955018
 0.000650	-0.071652	 10.049115	 0.953906
 0.000675	-0.072831	 9.607884	 0.953520
 0.000700	-0.071815	 9.986802	 0.953853
 0.000725	-0.068666	 11.260279	 0.954891
 0.000750	-0.063512	 13.709245	 0.956612
 0.000775	-0.056539	 17.899448	 0.958983
 0.000800	-0.047990	 24.837154	 0.961955
 0.000825	-0.038152	 36.228378	 0.965467
 0.000850	-0.027348	 54.863354	 0.969435
 0.000875	-0.015924	 85.106972	 0.973757
 0.000900	-0.004242	 133.362885	 0.978312
 0.000925	 0.007337	 208.166412	 0.982962
 0.000950	 0.018460	 319.291534	 0.987554
 0.000975	 0.028795	 475.137482	 0.991932
 0.001000	 0.038042	 678.088745	 0.995940
 0.001025	 0.045942	 918.847290	 0.999432
 0.001050	 0.052282	 1172.583130	 1.002279
 0.001075	 0.056903	 1400.673828	 1.004380
 0.001100	 0.059704	 1560.037354	 1.005664
 0.001125	 0.060645	 1617.504761	 1.006097
 0.001150	 0.059743	 1562.332275	 1.005682
 0.001175	 0.057073	 1409.898804	 1.004458
 0.001200	 0.052767	 1194.704224	 1.002499
 0.001225	 0.047003	 957.132812	 0.999906
 0.001250	 0.040000	 731.137512	 0.996800
 0.001275	 0.032013	 537.742249	 0.993318
 0.001300	 0.023318	 384.889801	 0.989599
 0.001325	 0.014208	 271.124634	 0.985784
 0.001350	 0.004979	 190.122299	 0.982004
 0.001375	-0.004076	 134.215546	 0.978378
 0.001400	-0.012681	 96.406723	 0.975008
 0.001425	-0.020583	 71.151253	 0.971979
 0.001450	-0.027560	 54.417679	 0.969356
