TBJ_JFET  
Vin = 0.03*sen(2*PI*1000.0*t)
Is = 1.00e-11  Idss = 2.00
Vt = 0.026     Vp   = -2.00
Tensiones de polarización
Vbe = 0.900
Vgs = -0.600

t [s]   	Vin [V] 	Ic [mA] 	Id [mA] 	
 0.000000	 0.000000	 10796.190430	 0.980000
 0.000005	 0.000785	 11127.237305	 0.981100
 0.000010	 0.001570	 11468.093750	 0.982199
 0.000015	 0.002353	 11818.687500	 0.983297
 0.000020	 0.003133	 12178.912109	 0.984392
 0.000025	 0.003911	 12548.623047	 0.985483
 0.000030	 0.004685	 12927.637695	 0.986569
 0.000035	 0.005454	 13315.733398	 0.987650
 0.000040	 0.006217	 13712.639648	 0.988723
 0.000045	 0.006975	 14118.045898	 0.989789
 0.000050	 0.007725	 14531.588867	 0.990845
 0.000055	 0.008468	 14952.861328	 0.991892
 0.000060	 0.009203	 15381.400391	 0.992927
 0.000065	 0.009929	 15816.694336	 0.993949
 0.000070	 0.010644	 16258.180664	 0.994959
 0.000075	 0.011350	 16705.238281	 0.995954
 0.000080	 0.012044	 17157.197266	 0.996934
 0.000085	 0.012726	 17613.328125	 0.997897
 0.000090	 0.013396	 18072.855469	 0.998844
 0.000095	 0.014052	 18534.943359	 0.999772
 0.000100	 0.014695	 18998.710938	 1.000680
 0.000105	 0.015323	 19463.222656	 1.001569
 0.000110	 0.015936	 19927.500000	 1.002437
 0.000115	 0.016533	 20390.513672	 1.003283
 0.000120	 0.017114	 20851.197266	 1.004106
 0.000125	 0.017678	 21308.441406	 1.004905
 0.000130	 0.018224	 21761.107422	 1.005680
 0.000135	 0.018753	 22208.021484	 1.006430
 0.000140	 0.019263	 22647.988281	 1.007154
 0.000145	 0.019754	 23079.789062	 1.007851
 0.000150	 0.020225	 23502.195312	 1.008520
 0.000155	 0.020677	 23913.964844	 1.009162
 0.000160	 0.021108	 24313.861328	 1.009774
 0.000165	 0.021519	 24700.646484	 1.010357
 0.000170	 0.021908	 25073.095703	 1.010911
 0.000175	 0.022275	 25430.005859	 1.011433
 0.000180	 0.022621	 25770.201172	 1.011925
 0.000185	 0.022944	 26092.533203	 1.012385
 0.000190	 0.023244	 26395.900391	 1.012812
 0.000195	 0.023522	 26679.246094	 1.013207
 0.000200	 0.023776	 26941.564453	 1.013570
 0.000205	 0.024007	 27181.923828	 1.013898
 0.000210	 0.024215	 27399.449219	 1.014194
 0.000215	 0.024398	 27593.339844	 1.014455
 0.000220	 0.024557	 27762.882812	 1.014682
 0.000225	 0.024692	 27907.441406	 1.014874
 0.000230	 0.024803	 28026.472656	 1.015032
 0.000235	 0.024889	 28119.527344	 1.015154
 0.000240	 0.024951	 28186.250000	 1.015242
 0.000245	 0.024988	 28226.386719	 1.015295
 0.000250	 0.025000	 28239.785156	 1.015313
 0.000255	 0.024988	 28226.390625	 1.015295
 0.000260	 0.024951	 28186.257812	 1.015242
 0.000265	 0.024889	 28119.537109	 1.015154
 0.000270	 0.024803	 28026.484375	 1.015032
 0.000275	 0.024692	 27907.455078	 1.014874
 0.000280	 0.024557	 27762.900391	 1.014682
 0.000285	 0.024398	 27593.359375	 1.014455
 0.000290	 0.024215	 27399.470703	 1.014194
 0.000295	 0.024007	 27181.947266	 1.013898
 0.000300	 0.023776	 26941.589844	 1.013570
 0.000305	 0.023522	 26679.269531	 1.013207
 0.000310	 0.023244	 26395.927734	 1.012812
 0.000315	 0.022944	 26092.562500	 1.012385
 0.000320	 0.022621	 25770.230469	 1.011925
 0.000325	 0.022275	 25430.035156	 1.011433
 0.000330	 0.021908	 25073.126953	 1.010911
 0.000335	 0.021519	 24700.675781	 1.010357
 0.000340	 0.021108	 24313.890625	 1.009774
 0.000345	 0.020677	 23913.994141	 1.009162
 0.000350	 0.020225	 23502.222656	 1.008520
 0.000355	 0.019754	 23079.818359	 1.007851
 0.000360	 0.019263	 22648.015625	 1.007154
 0.000365	 0.018753	 22208.048828	 1.006430
 0.000370	 0.018224	 21761.132812	 1.005680
 0.000375	 0.017678	 21308.466797	 1.004905
 0.000380	 0.017114	 20851.222656	 1.004106
 0.000385	 0.016533	 20390.537109	 1.003283
 0.000390	 0.015936	 19927.523438	 1.002437
 0.000395	 0.015323	 19463.246094	 1.001569
 0.000400	 0.014695	 18998.732422	 1.000680
 0.000405	 0.014052	 18534.964844	 0.999772
 0.000410	 0.013396	 18072.875000	 0.998844
 0.000415	 0.012726	 17613.347656	 0.997897
 0.000420	 0.012044	 17157.216797	 0.996934
 0.000425	 0.011350	 16705.255859	 0.995954
 0.000430	 0.010645	 16258.198242	 0.994959
 0.000435	 0.009929	 15816.710938	 0.993949
 0.000440	 0.009203	 15381.415039	 0.992927
 0.000445	 0.008468	 14952.875000	 0.991892
 0.000450	 0.007725	 14531.602539	 0.990845
 0.000455	 0.006975	 14118.057617	 0.989789
 0.000460	 0.006217	 13712.651367	 0.988724
 0.000465	 0.005454	 13315.744141	 0.987650
 0.000470	 0.004685	 12927.648438	 0.986569
 0.000475	 0.003911	 12548.631836	 0.985483
 0.000480	 0.003133	 12178.920898	 0.984392
 0.000485	 0.002353	 11818.695312	 0.983297
 0.000490	 0.001570	 11468.102539	 0.982199
 0.000495	 0.000785	 11127.247070	 0.981100
 0.000500	 0.000000	 10796.201172	 0.980000
 0.000505	-0.000785	 10475.003906	 0.978901
 0.000510	-0.001570	 10163.665039	 0.977804
 0.000515	-0.002353	 9862.167969	 0.976709
 0.000520	-0.003133	 9570.468750	 0.975618
 0.000525	-0.003911	 9288.501953	 0.974532
 0.000530	-0.004684	 9016.180664	 0.973453
 0.000535	-0.005454	 8753.400391	 0.972380
 0.000540	-0.006217	 8500.037109	 0.971315
 0.000545	-0.006975	 8255.956055	 0.970260
 0.000550	-0.007725	 8021.006836	 0.969214
 0.000555	-0.008468	 7795.029297	 0.968180
 0.000560	-0.009203	 7577.853516	 0.967158
 0.000565	-0.009929	 7369.302246	 0.966149
 0.000570	-0.010644	 7169.191895	 0.965154
 0.000575	-0.011350	 6977.333496	 0.964175
 0.000580	-0.012044	 6793.535645	 0.963211
 0.000585	-0.012726	 6617.604492	 0.962265
 0.000590	-0.013396	 6449.343262	 0.961336
 0.000595	-0.014052	 6288.557129	 0.960426
 0.000600	-0.014695	 6135.050781	 0.959536
 0.000605	-0.015323	 5988.630859	 0.958666
 0.000610	-0.015936	 5849.106445	 0.957817
 0.000615	-0.016533	 5716.289062	 0.956991
 0.000620	-0.017114	 5589.994141	 0.956187
 0.000625	-0.017678	 5470.041992	 0.955408
 0.000630	-0.018224	 5356.256348	 0.954652
 0.000635	-0.018753	 5248.466797	 0.953922
 0.000640	-0.019263	 5146.508301	 0.953218
 0.000645	-0.019754	 5050.221680	 0.952540
 0.000650	-0.020225	 4959.453613	 0.951889
 0.000655	-0.020677	 4874.057129	 0.951266
 0.000660	-0.021108	 4793.892090	 0.950671
 0.000665	-0.021518	 4718.824707	 0.950106
 0.000670	-0.021908	 4648.728027	 0.949569
 0.000675	-0.022275	 4583.482422	 0.949063
 0.000680	-0.022621	 4522.975098	 0.948587
 0.000685	-0.022944	 4467.100586	 0.948142
 0.000690	-0.023244	 4415.759766	 0.947728
 0.000695	-0.023522	 4368.861816	 0.947346
 0.000700	-0.023776	 4326.323242	 0.946996
 0.000705	-0.024007	 4288.066895	 0.946678
 0.000710	-0.024215	 4254.022949	 0.946393
 0.000715	-0.024398	 4224.130371	 0.946141
 0.000720	-0.024557	 4198.333984	 0.945922
 0.000725	-0.024692	 4176.585938	 0.945736
 0.000730	-0.024803	 4158.846680	 0.945584
 0.000735	-0.024889	 4145.083496	 0.945465
 0.000740	-0.024951	 4135.270508	 0.945380
 0.000745	-0.024988	 4129.389648	 0.945329
 0.000750	-0.025000	 4127.429688	 0.945312
 0.000755	-0.024988	 4129.387207	 0.945329
 0.000760	-0.024951	 4135.266113	 0.945380
 0.000765	-0.024889	 4145.077148	 0.945465
 0.000770	-0.024803	 4158.837891	 0.945584
 0.000775	-0.024692	 4176.575195	 0.945736
 0.000780	-0.024557	 4198.320801	 0.945921
 0.000785	-0.024398	 4224.114746	 0.946140
 0.000790	-0.024215	 4254.005371	 0.946393
 0.000795	-0.024007	 4288.046875	 0.946678
 0.000800	-0.023776	 4326.300781	 0.946996
 0.000805	-0.023522	 4368.837402	 0.947346
 0.000810	-0.023245	 4415.732422	 0.947728
 0.000815	-0.022944	 4467.070801	 0.948142
 0.000820	-0.022621	 4522.942871	 0.948587
 0.000825	-0.022275	 4583.447754	 0.949063
 0.000830	-0.021908	 4648.690430	 0.949569
 0.000835	-0.021519	 4718.784180	 0.950105
 0.000840	-0.021108	 4793.849121	 0.950671
 0.000845	-0.020677	 4874.011230	 0.951266
 0.000850	-0.020226	 4959.404785	 0.951889
 0.000855	-0.019754	 5050.169922	 0.952539
 0.000860	-0.019263	 5146.453125	 0.953217
 0.000865	-0.018753	 5248.408691	 0.953922
 0.000870	-0.018224	 5356.194824	 0.954652
 0.000875	-0.017678	 5469.977051	 0.955407
 0.000880	-0.017114	 5589.925781	 0.956187
 0.000885	-0.016533	 5716.217285	 0.956990
 0.000890	-0.015936	 5849.031250	 0.957817
 0.000895	-0.015323	 5988.551758	 0.958665
 0.000900	-0.014695	 6134.967773	 0.959535
 0.000905	-0.014052	 6288.470215	 0.960425
 0.000910	-0.013396	 6449.252441	 0.961335
 0.000915	-0.012726	 6617.509277	 0.962264
 0.000920	-0.012044	 6793.436523	 0.963211
 0.000925	-0.011350	 6977.229492	 0.964174
 0.000930	-0.010645	 7169.083008	 0.965154
 0.000935	-0.009929	 7369.188965	 0.966149
 0.000940	-0.009203	 7577.735840	 0.967158
 0.000945	-0.008469	 7794.906738	 0.968180
 0.000950	-0.007726	 8020.879395	 0.969214
 0.000955	-0.006975	 8255.823242	 0.970259
 0.000960	-0.006218	 8499.899414	 0.971315
 0.000965	-0.005454	 8753.256836	 0.972379
 0.000970	-0.004685	 9016.033203	 0.973452
 0.000975	-0.003911	 9288.348633	 0.974532
 0.000980	-0.003134	 9570.313477	 0.975618
 0.000985	-0.002353	 9862.010742	 0.976708
 0.000990	-0.001570	 10163.505859	 0.977803
 0.000995	-0.000786	 10474.843750	 0.978900
 0.001000	-0.000000	 10796.039062	 0.979999
 0.001005	 0.000785	 11127.084961	 0.981099
 0.001010	 0.001569	 11467.939453	 0.982198
 0.001015	 0.002352	 11818.531250	 0.983296
 0.001020	 0.003133	 12178.754883	 0.984391
 0.001025	 0.003911	 12548.463867	 0.985482
 0.001030	 0.004684	 12927.478516	 0.986569
 0.001035	 0.005453	 13315.572266	 0.987649
 0.001040	 0.006217	 13712.478516	 0.988723
 0.001045	 0.006974	 14117.883789	 0.989789
 0.001050	 0.007725	 14531.427734	 0.990845
 0.001055	 0.008468	 14952.699219	 0.991891
 0.001060	 0.009203	 15381.239258	 0.992926
 0.001065	 0.009928	 15816.535156	 0.993949
 0.001070	 0.010644	 16258.022461	 0.994959
 0.001075	 0.011350	 16705.082031	 0.995954
 0.001080	 0.012044	 17157.041016	 0.996934
 0.001085	 0.012726	 17613.175781	 0.997897
 0.001090	 0.013395	 18072.703125	 0.998843
 0.001095	 0.014052	 18534.794922	 0.999771
 0.001100	 0.014694	 18998.564453	 1.000680
 0.001105	 0.015322	 19463.080078	 1.001569
 0.001110	 0.015935	 19927.361328	 1.002437
 0.001115	 0.016533	 20390.378906	 1.003282
 0.001120	 0.017114	 20851.066406	 1.004105
 0.001125	 0.017678	 21308.316406	 1.004905
 0.001130	 0.018224	 21760.986328	 1.005680
 0.001135	 0.018753	 22207.906250	 1.006430
 0.001140	 0.019263	 22647.876953	 1.007153
 0.001145	 0.019754	 23079.685547	 1.007850
 0.001150	 0.020225	 23502.097656	 1.008520
 0.001155	 0.020677	 23913.875000	 1.009161
 0.001160	 0.021108	 24313.775391	 1.009774
 0.001165	 0.021518	 24700.568359	 1.010357
 0.001170	 0.021908	 25073.023438	 1.010911
 0.001175	 0.022275	 25429.941406	 1.011433
 0.001180	 0.022621	 25770.142578	 1.011925
 0.001185	 0.022944	 26092.480469	 1.012385
 0.001190	 0.023244	 26395.851562	 1.012812
 0.001195	 0.023522	 26679.203125	 1.013207
 0.001200	 0.023776	 26941.531250	 1.013570
 0.001205	 0.024007	 27181.894531	 1.013898
 0.001210	 0.024215	 27399.421875	 1.014194
 0.001215	 0.024398	 27593.318359	 1.014455
 0.001220	 0.024557	 27762.865234	 1.014682
 0.001225	 0.024692	 27907.427734	 1.014874
 0.001230	 0.024803	 28026.462891	 1.015032
 0.001235	 0.024889	 28119.521484	 1.015154
 0.001240	 0.024951	 28186.246094	 1.015242
 0.001245	 0.024988	 28226.384766	 1.015295
 0.001250	 0.025000	 28239.785156	 1.015313
 0.001255	 0.024988	 28226.392578	 1.015295
 0.001260	 0.024951	 28186.259766	 1.015242
 0.001265	 0.024889	 28119.541016	 1.015154
 0.001270	 0.024803	 28026.488281	 1.015032
 0.001275	 0.024692	 27907.458984	 1.014874
 0.001280	 0.024557	 27762.904297	 1.014682
 0.001285	 0.024398	 27593.363281	 1.014455
 0.001290	 0.024215	 27399.472656	 1.014194
 0.001295	 0.024007	 27181.949219	 1.013898
 0.001300	 0.023776	 26941.591797	 1.013570
 0.001305	 0.023522	 26679.269531	 1.013207
 0.001310	 0.023244	 26395.923828	 1.012812
 0.001315	 0.022944	 26092.556641	 1.012385
 0.001320	 0.022621	 25770.222656	 1.011925
 0.001325	 0.022275	 25430.027344	 1.011433
 0.001330	 0.021908	 25073.113281	 1.010911
 0.001335	 0.021519	 24700.662109	 1.010357
 0.001340	 0.021108	 24313.873047	 1.009774
 0.001345	 0.020677	 23913.974609	 1.009162
 0.001350	 0.020225	 23502.199219	 1.008520
 0.001355	 0.019754	 23079.791016	 1.007851
 0.001360	 0.019263	 22647.986328	 1.007154
 0.001365	 0.018753	 22208.015625	 1.006430
 0.001370	 0.018224	 21761.097656	 1.005680
 0.001375	 0.017678	 21308.427734	 1.004905
 0.001380	 0.017114	 20851.179688	 1.004106
 0.001385	 0.016533	 20390.494141	 1.003283
 0.001390	 0.015936	 19927.476562	 1.002437
 0.001395	 0.015323	 19463.195312	 1.001569
 0.001400	 0.014695	 18998.679688	 1.000680
 0.001405	 0.014052	 18534.910156	 0.999772
 0.001410	 0.013396	 18072.818359	 0.998844
 0.001415	 0.012726	 17613.287109	 0.997897
 0.001420	 0.012044	 17157.152344	 0.996934
 0.001425	 0.011350	 16705.193359	 0.995954
 0.001430	 0.010644	 16258.131836	 0.994959
 0.001435	 0.009929	 15816.643555	 0.993949
 0.001440	 0.009203	 15381.345703	 0.992927
 0.001445	 0.008468	 14952.803711	 0.991892
 0.001450	 0.007725	 14531.530273	 0.990845
 0.001455	 0.006975	 14117.985352	 0.989789
 0.001460	 0.006217	 13712.578125	 0.988723
 0.001465	 0.005453	 13315.668945	 0.987650
 0.001470	 0.004684	 12927.573242	 0.986569
 0.001475	 0.003911	 12548.556641	 0.985483
 0.001480	 0.003133	 12178.844727	 0.984391
 0.001485	 0.002353	 11818.620117	 0.983296
 0.001490	 0.001570	 11468.025391	 0.982199
 0.001495	 0.000785	 11127.167969	 0.981099
 0.001500	-0.000000	 10796.120117	 0.980000
 0.001505	-0.000785	 10474.921875	 0.978901
 0.001510	-0.001570	 10163.582031	 0.977803
 0.001515	-0.002353	 9862.083984	 0.976709
 0.001520	-0.003134	 9570.383789	 0.975618
 0.001525	-0.003911	 9288.416992	 0.974532
 0.001530	-0.004685	 9016.095703	 0.973452
 0.001535	-0.005454	 8753.314453	 0.972380
 0.001540	-0.006217	 8499.952148	 0.971315
 0.001545	-0.006975	 8255.871094	 0.970259
 0.001550	-0.007726	 8020.922852	 0.969214
 0.001555	-0.008469	 7794.945801	 0.968180
 0.001560	-0.009203	 7577.770996	 0.967158
 0.001565	-0.009929	 7369.220703	 0.966149
 0.001570	-0.010645	 7169.111328	 0.965154
 0.001575	-0.011350	 6977.254395	 0.964174
 0.001580	-0.012044	 6793.458008	 0.963211
 0.001585	-0.012726	 6617.527832	 0.962264
 0.001590	-0.013396	 6449.268066	 0.961335
 0.001595	-0.014052	 6288.483398	 0.960425
 0.001600	-0.014695	 6134.979004	 0.959535
 0.001605	-0.015323	 5988.560547	 0.958665
 0.001610	-0.015936	 5849.037598	 0.957817
 0.001615	-0.016533	 5716.222168	 0.956990
