TBJ_JFET  
Vin = 0.05*sen(2*PI*1000.0*t)
Is = 1.00e-11  Idss = 2.00
Vt = 0.026     Vp   = -2.00
Tensiones de polarización
Vbe = 0.700
Vgs = -0.600

t [s]   	Vin [V] 	Ic [mA] 	Id [mA] 	
 0.000000	 0.000000	 4.926559	 0.980000
 0.000005	 0.001571	 5.233322	 0.982200
 0.000010	 0.003140	 5.558853	 0.984400
 0.000015	 0.004705	 5.903930	 0.986599
 0.000020	 0.006267	 6.269309	 0.988793
 0.000025	 0.007822	 6.655717	 0.990981
 0.000030	 0.009369	 7.063843	 0.993161
 0.000035	 0.010907	 7.494330	 0.995329
 0.000040	 0.012434	 7.947762	 0.997486
 0.000045	 0.013950	 8.424649	 0.999627
 0.000050	 0.015451	 8.925425	 1.001751
 0.000055	 0.016937	 9.450423	 1.003855
 0.000060	 0.018406	 9.999872	 1.005938
 0.000065	 0.019857	 10.573874	 1.007998
 0.000070	 0.021289	 11.172402	 1.010031
 0.000075	 0.022700	 11.795275	 1.012037
 0.000080	 0.024088	 12.442148	 1.014013
 0.000085	 0.025452	 13.112501	 1.015957
 0.000090	 0.026791	 13.805629	 1.017867
 0.000095	 0.028104	 14.520622	 1.019741
 0.000100	 0.029389	 15.256360	 1.021577
 0.000105	 0.030645	 16.011507	 1.023373
 0.000110	 0.031871	 16.784494	 1.025128
 0.000115	 0.033066	 17.573530	 1.026838
 0.000120	 0.034227	 18.376579	 1.028504
 0.000125	 0.035355	 19.191372	 1.030122
 0.000130	 0.036448	 20.015419	 1.031692
 0.000135	 0.037506	 20.845985	 1.033211
 0.000140	 0.038526	 21.680134	 1.034678
 0.000145	 0.039508	 22.514711	 1.036091
 0.000150	 0.040451	 23.346380	 1.037449
 0.000155	 0.041354	 24.171627	 1.038751
 0.000160	 0.042216	 24.986795	 1.039994
 0.000165	 0.043037	 25.788097	 1.041178
 0.000170	 0.043815	 26.571655	 1.042301
 0.000175	 0.044550	 27.333525	 1.043363
 0.000180	 0.045241	 28.069735	 1.044361
 0.000185	 0.045888	 28.776314	 1.045296
 0.000190	 0.046489	 29.449345	 1.046165
 0.000195	 0.047044	 30.084984	 1.046968
 0.000200	 0.047553	 30.679504	 1.047705
 0.000205	 0.048015	 31.229361	 1.048373
 0.000210	 0.048429	 31.731190	 1.048973
 0.000215	 0.048796	 32.181870	 1.049505
 0.000220	 0.049114	 32.578556	 1.049966
 0.000225	 0.049384	 32.918705	 1.050358
 0.000230	 0.049606	 33.200115	 1.050678
 0.000235	 0.049778	 33.420944	 1.050928
 0.000240	 0.049901	 33.579735	 1.051107
 0.000245	 0.049975	 33.675438	 1.051214
 0.000250	 0.050000	 33.707417	 1.051250
 0.000255	 0.049975	 33.675449	 1.051214
 0.000260	 0.049901	 33.579754	 1.051107
 0.000265	 0.049778	 33.420967	 1.050928
 0.000270	 0.049606	 33.200142	 1.050678
 0.000275	 0.049384	 32.918739	 1.050358
 0.000280	 0.049114	 32.578598	 1.049966
 0.000285	 0.048796	 32.181915	 1.049505
 0.000290	 0.048429	 31.731239	 1.048974
 0.000295	 0.048015	 31.229414	 1.048373
 0.000300	 0.047553	 30.679562	 1.047705
 0.000305	 0.047044	 30.085039	 1.046968
 0.000310	 0.046489	 29.449408	 1.046165
 0.000315	 0.045888	 28.776381	 1.045296
 0.000320	 0.045241	 28.069798	 1.044361
 0.000325	 0.044550	 27.333588	 1.043363
 0.000330	 0.043815	 26.571720	 1.042301
 0.000335	 0.043037	 25.788160	 1.041178
 0.000340	 0.042216	 24.986856	 1.039994
 0.000345	 0.041354	 24.171686	 1.038751
 0.000350	 0.040451	 23.346436	 1.037449
 0.000355	 0.039508	 22.514765	 1.036091
 0.000360	 0.038526	 21.680185	 1.034678
 0.000365	 0.037506	 20.846037	 1.033211
 0.000370	 0.036448	 20.015467	 1.031692
 0.000375	 0.035355	 19.191420	 1.030123
 0.000380	 0.034227	 18.376623	 1.028504
 0.000385	 0.033066	 17.573570	 1.026839
 0.000390	 0.031871	 16.784536	 1.025128
 0.000395	 0.030645	 16.011545	 1.023373
 0.000400	 0.029389	 15.256396	 1.021577
 0.000405	 0.028104	 14.520656	 1.019741
 0.000410	 0.026791	 13.805660	 1.017867
 0.000415	 0.025452	 13.112532	 1.015957
 0.000420	 0.024088	 12.442175	 1.014013
 0.000425	 0.022700	 11.795300	 1.012037
 0.000430	 0.021289	 11.172426	 1.010031
 0.000435	 0.019857	 10.573896	 1.007998
 0.000440	 0.018406	 9.999891	 1.005938
 0.000445	 0.016937	 9.450442	 1.003855
 0.000450	 0.015451	 8.925442	 1.001751
 0.000455	 0.013950	 8.424664	 0.999627
 0.000460	 0.012435	 7.947775	 0.997486
 0.000465	 0.010907	 7.494343	 0.995330
 0.000470	 0.009369	 7.063854	 0.993161
 0.000475	 0.007822	 6.655726	 0.990981
 0.000480	 0.006267	 6.269318	 0.988793
 0.000485	 0.004705	 5.903938	 0.986599
 0.000490	 0.003140	 5.558861	 0.984400
 0.000495	 0.001571	 5.233331	 0.982200
 0.000500	 0.000000	 4.926569	 0.980000
 0.000505	-0.001570	 4.637790	 0.977803
 0.000510	-0.003139	 4.366198	 0.975610
 0.000515	-0.004705	 4.111000	 0.973424
 0.000520	-0.006267	 3.871409	 0.971246
 0.000525	-0.007822	 3.646650	 0.969080
 0.000530	-0.009369	 3.435959	 0.966927
 0.000535	-0.010907	 3.238592	 0.964790
 0.000540	-0.012434	 3.053826	 0.962669
 0.000545	-0.013949	 2.880961	 0.960568
 0.000550	-0.015451	 2.719321	 0.958488
 0.000555	-0.016937	 2.568255	 0.956432
 0.000560	-0.018406	 2.427141	 0.954401
 0.000565	-0.019857	 2.295384	 0.952397
 0.000570	-0.021289	 2.172416	 0.950422
 0.000575	-0.022699	 2.057698	 0.948479
 0.000580	-0.024088	 1.950718	 0.946568
 0.000585	-0.025452	 1.850991	 0.944691
 0.000590	-0.026791	 1.758060	 0.942851
 0.000595	-0.028104	 1.671494	 0.941049
 0.000600	-0.029389	 1.590886	 0.939287
 0.000605	-0.030645	 1.515856	 0.937566
 0.000610	-0.031871	 1.446045	 0.935888
 0.000615	-0.033065	 1.381119	 0.934255
 0.000620	-0.034227	 1.320764	 0.932668
 0.000625	-0.035355	 1.264690	 0.931128
 0.000630	-0.036448	 1.212622	 0.929637
 0.000635	-0.037505	 1.164307	 0.928196
 0.000640	-0.038525	 1.119510	 0.926806
 0.000645	-0.039508	 1.078012	 0.925470
 0.000650	-0.040451	 1.039610	 0.924187
 0.000655	-0.041354	 1.004116	 0.922960
 0.000660	-0.042216	 0.971358	 0.921788
 0.000665	-0.043037	 0.941175	 0.920674
 0.000670	-0.043815	 0.913421	 0.919619
 0.000675	-0.044550	 0.887961	 0.918622
 0.000680	-0.045241	 0.864671	 0.917686
 0.000685	-0.045888	 0.843440	 0.916810
 0.000690	-0.046489	 0.824164	 0.915996
 0.000695	-0.047044	 0.806751	 0.915245
 0.000700	-0.047553	 0.791117	 0.914557
 0.000705	-0.048015	 0.777187	 0.913932
 0.000710	-0.048429	 0.764896	 0.913372
 0.000715	-0.048796	 0.754184	 0.912876
 0.000720	-0.049114	 0.745001	 0.912446
 0.000725	-0.049384	 0.737302	 0.912081
 0.000730	-0.049606	 0.731052	 0.911782
 0.000735	-0.049778	 0.726222	 0.911550
 0.000740	-0.049901	 0.722787	 0.911383
 0.000745	-0.049975	 0.720733	 0.911283
 0.000750	-0.050000	 0.720049	 0.911250
 0.000755	-0.049975	 0.720732	 0.911283
 0.000760	-0.049901	 0.722786	 0.911383
 0.000765	-0.049778	 0.726219	 0.911550
